NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	44.12	33.66	8.39	0.74	1.33
2	4	2	36	84.80	65.14	14.49	3.66	1.51
3	9	3	64	85.52	54.67	18.44	10.69	1.71
4	16	4	100	205.91	86.12	32.26	85.77	1.77
5	25	5	144	478.11	138.43	60.22	277.53	1.93
6	36	6	196	1542.76	211.24	108.92	1220.08	2.52
7	49	7	256	5472.25	249.24	242.90	4976.37	3.74
8	64	8	324	11963.17	370.63	378.75	11209.29	4.50
9	81	9	400	57809.51	418.97	592.86	56791.64	6.03
10	100	10	484	98814.65	548.44	970.83	97287.84	7.53
11	121	11	576	275619.34	728.50	1606.38	273273.61	10.85
12	144	12	676	998789.22	1133.78	2629.79	995011.29	14.36
13	169	13	784	1279065.28	1477.54	3989.95	1273577.99	19.81
14	196	14	900	6040443.35	1569.33	6383.26	6032463.94	26.81
