Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             599.37            0.00             599.37             237592.34
5.59            9.56             0.00              0.00             15.15              237607.49
3.97            4.89             0.00              0.00             8.86               237616.35
2.25            4.67             0.00              0.00             6.92               237623.27
2.07            4.59             0.00              0.00             6.66               237629.93
2.12            7.75             0.00              0.00             9.87               237639.80
3.18            4.47             0.00              0.00             7.65               237647.45
1.77            7.61             0.00              0.00             9.38               237656.83
2.84            4.32             0.00              0.00             7.16               237663.99
1.63            3.81             0.00              0.00             5.44               237669.43
1.55            3.68             0.00              0.00             5.23               237674.66
1.44            4.15             0.00              0.00             5.59               237680.25
1.33            4.25             0.00              0.00             5.58               237685.83
1.30            4.16             0.00              0.00             5.46               237691.29
1.28            4.36             0.00              0.00             5.64               237696.93
1.13            3.57             0.00              0.00             4.70               237701.63
0.87            4.04             0.00              0.00             4.91               237706.54
0.92            3.51             0.00              0.00             4.43               237710.97
0.79            4.25             0.00              0.00             5.04               237716.01
0.76            3.54             0.00              0.00             4.30               237720.31
0.61            4.13             0.00              0.00             4.74               237725.05
0.59            3.29             0.00              0.00             3.88               237728.93
0.44            4.26             0.00              0.00             4.70               237733.63
0.46            6.19             0.00              0.00             6.65               237740.28
0.48            3.27             0.00              0.00             3.75               237744.03
0.12            1.69             0.00              0.00             1.81               237745.84
0.60            4.11             0.00              0.00             4.71               237750.55
1.86            4.13             0.00              0.00             5.99               237756.54
1.83            1.35             0.00              0.00             3.18               237759.72
0.23            1.43             0.00              0.00             1.66               237761.38
0.22            1.53             0.00              0.00             1.75               237763.13
0.26            1.40             0.00              0.00             1.66               237764.79
0.27            1.33             0.00              0.00             1.60               237766.39
0.23            1.26             0.00              0.00             1.49               237767.88
0.21            3.81             0.00              0.00             4.02               237771.90
0.61            1.23             0.00              0.00             1.84               237773.74
0.05            1.14             0.00              0.00             1.19               237774.93
0.05            1.10             0.00              0.00             1.15               237776.08
0.06            1.42             0.00              0.00             1.48               237777.56
0.48            3.66             0.00              0.00             4.14               237781.70
1.50            3.31             0.00              0.00             4.81               237786.51
1.19            1.06             0.00              0.00             2.25               237788.76
0.20            1.12             0.00              0.00             1.32               237790.08
0.21            3.17             0.00              0.00             3.38               237793.46
0.87            1.23             0.00              0.00             2.10               237795.56
0.05            1.26             0.00              0.00             1.31               237796.87
0.05            1.22             0.00              0.00             1.27               237798.14
0.06            1.21             0.00              0.00             1.27               237799.41
0.05            1.17             0.00              0.00             1.22               237800.63
0.06            1.19             0.00              0.00             1.25               237801.88
0.05            1.55             0.00              0.00             1.60               237803.48
0.45            3.67             0.00              0.00             4.12               237807.60
1.42            1.33             0.00              0.00             2.75               237810.35
0.32            1.36             0.00              0.00             1.68               237812.03
0.34            1.38             0.00              0.00             1.72               237813.75
0.35            1.41             0.00              0.00             1.76               237815.51
0.34            1.16             0.00              0.00             1.50               237817.01
0.33            2.83             0.00              0.00             3.16               237820.17
0.58            1.22             0.00              0.00             1.80               237821.97
0.18            2.76             0.00              0.00             2.94               237824.91
0.35            1.19             0.00              0.00             1.54               237826.45
0.05            1.13             0.00              0.00             1.18               237827.63
0.06            6.48             0.00              0.00             6.54               237834.17
2.38            3.38             0.00              0.00             5.76               237839.93
1.32            3.85             0.00              0.00             5.17               237845.10
1.14            3.61             0.00              0.00             4.75               237849.85
1.08            3.25             0.00              0.00             4.33               237854.18
1.12            3.17             0.00              0.00             4.29               237858.47
1.10            3.23             0.00              0.00             4.33               237862.80
1.13            3.35             0.00              0.00             4.48               237867.28
0.74            2.97             0.00              0.00             3.71               237870.99
0.95            3.28             0.00              0.00             4.23               237875.22
0.61            3.01             0.00              0.00             3.62               237878.84
0.84            5.37             0.00              0.00             6.21               237885.05
1.04            2.89             0.00              0.00             3.93               237888.98
0.73            2.35             0.00              0.00             3.08               237892.06
0.22            3.03             0.00              0.00             3.25               237895.31
0.23            2.42             0.00              0.00             2.65               237897.96
0.23            2.75             0.00              0.00             2.98               237900.94
0.36            2.59             0.00              0.00             2.95               237903.89
0.07            3.04             0.00              0.00             3.11               237907.00
0.07            1.29             0.00              0.00             1.36               237908.36
0.33            1.32             0.00              0.00             1.65               237910.01
0.32            3.53             0.00              0.00             3.85               237913.86
1.11            1.12             0.00              0.00             2.23               237916.09
0.22            1.10             0.00              0.00             1.32               237917.41
0.22            1.48             0.00              0.00             1.70               237919.11
0.22            1.22             0.00              0.00             1.44               237920.55
0.22            1.25             0.00              0.00             1.47               237922.02
0.20            2.76             0.00              0.00             2.96               237924.98
0.21            1.19             0.00              0.00             1.40               237926.38
0.06            3.04             0.00              0.00             3.10               237929.48
1.20            3.70             0.00              0.00             4.90               237934.38
1.24            3.83             0.00              0.00             5.07               237939.45
1.28            4.07             0.00              0.00             5.35               237944.80
1.30            3.69             0.00              0.00             4.99               237949.79
1.21            2.75             0.00              0.00             3.96               237953.75
0.65            2.86             0.00              0.00             3.51               237957.26
0.60            5.57             0.00              0.00             6.17               237963.43
1.34            2.79             0.00              0.00             4.13               237967.56
0.49            3.29             0.00              0.00             3.78               237971.34
0.72            2.65             0.00              0.00             3.37               237974.71
0.34            3.38             0.00              0.00             3.72               237978.43
0.60            2.54             0.00              0.00             3.14               237981.57
0.24            2.65             0.00              0.00             2.89               237984.46
0.24            2.70             0.00              0.00             2.94               237987.40
0.24            2.39             0.00              0.00             2.63               237990.03
0.23            2.55             0.00              0.00             2.78               237992.81
0.09            1.12             0.00              0.00             1.21               237994.02
0.19            1.38             0.00              0.00             1.57               237995.59
0.18            1.40             0.00              0.00             1.58               237997.17
0.21            1.08             0.00              0.00             1.29               237998.46
0.20            3.25             0.00              0.00             3.45               238001.91
0.72            1.16             0.00              0.00             1.88               238003.79
0.05            1.18             0.00              0.00             1.23               238005.02
0.05            1.22             0.00              0.00             1.27               238006.29
0.05            1.23             0.00              0.00             1.28               238007.57
0.06            1.08             0.00              0.00             1.14               238008.71
0.19            3.05             0.00              0.00             3.24               238011.95
0.96            1.00             0.00              0.00             1.96               238013.91
0.05            0.92             0.00              0.00             0.97               238014.88
0.05            0.97             0.00              0.00             1.02               238015.90
0.05            1.02             0.00              0.00             1.07               238016.97
0.05            0.97             0.00              0.00             1.02               238017.99
0.05            1.00             0.00              0.00             1.05               238019.04
0.06            1.14             0.00              0.00             1.20               238020.24
