Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            451.62        0.00             0.00             451.62             9940.97  
0.83            0.00          0.67             0.00             1.50               9942.47  
0.03            0.00          0.34             0.00             0.37               9942.84  
0.02            0.00          0.33             0.00             0.35               9943.19  
0.02            0.00          0.63             0.00             0.65               9943.84  
0.02            0.00          0.30             0.00             0.32               9944.16  
0.02            0.00          0.31             0.00             0.33               9944.49  
0.02            0.00          0.28             0.00             0.30               9944.79  
0.02            0.00          0.29             0.00             0.31               9945.10  
0.02            0.00          0.32             0.00             0.34               9945.44  
0.02            0.00          0.63             0.00             0.65               9946.09  
0.02            0.00          0.31             0.00             0.33               9946.42  
0.02            0.00          0.26             0.00             0.28               9946.70  
0.02            0.00          0.31             0.00             0.33               9947.03  
0.02            0.00          0.31             0.00             0.33               9947.36  
0.02            0.00          0.30             0.00             0.32               9947.68  
0.02            0.00          0.30             0.00             0.32               9948.00  
0.03            0.00          0.29             0.00             0.32               9948.32  
0.02            0.00          0.31             0.00             0.33               9948.65  
0.02            0.00          0.31             0.00             0.33               9948.98  
0.02            0.00          0.31             0.00             0.33               9949.31  
0.02            0.00          0.28             0.00             0.30               9949.61  
0.02            0.00          0.06             0.00             0.08               9949.69  
0.01            0.00          0.05             0.00             0.06               9949.75  
0.01            0.00          0.28             0.00             0.29               9950.04  
0.02            0.00          0.05             0.00             0.07               9950.11  
0.01            0.00          0.05             0.00             0.06               9950.17  
0.01            0.00          0.05             0.00             0.06               9950.23  
0.01            0.00          0.05             0.00             0.06               9950.29  
0.01            0.00          0.05             0.00             0.06               9950.35  
0.01            0.00          0.05             0.00             0.06               9950.41  
0.01            0.00          0.27             0.00             0.28               9950.69  
0.01            0.00          0.04             0.00             0.05               9950.74  
0.01            0.00          0.05             0.00             0.06               9950.80  
0.01            0.00          0.06             0.00             0.07               9950.87  
0.01            0.00          0.28             0.00             0.29               9951.16  
0.02            0.00          0.05             0.00             0.07               9951.23  
0.01            0.00          0.05             0.00             0.06               9951.29  
0.01            0.00          0.05             0.00             0.06               9951.35  
0.01            0.00          0.05             0.00             0.06               9951.41  
0.01            0.00          0.05             0.00             0.06               9951.47  
0.01            0.00          0.05             0.00             0.06               9951.53  
0.01            0.00          0.26             0.00             0.27               9951.80  
0.02            0.00          0.05             0.00             0.07               9951.87  
0.02            0.00          0.30             0.00             0.32               9952.19  
0.02            0.00          0.28             0.00             0.30               9952.49  
0.01            0.00          0.26             0.00             0.27               9952.76  
0.01            0.00          0.26             0.00             0.27               9953.03  
0.02            0.00          0.28             0.00             0.30               9953.33  
0.02            0.00          0.56             0.00             0.58               9953.91  
0.02            0.00          0.27             0.00             0.29               9954.20  
0.02            0.00          0.27             0.00             0.29               9954.49  
0.02            0.00          0.23             0.00             0.25               9954.74  
0.01            0.00          0.27             0.00             0.28               9955.02  
0.02            0.00          0.23             0.00             0.25               9955.27  
0.01            0.00          0.26             0.00             0.27               9955.54  
0.01            0.00          0.25             0.00             0.26               9955.80  
0.01            0.00          0.28             0.00             0.29               9956.09  
0.02            0.00          0.27             0.00             0.29               9956.38  
0.01            0.00          0.27             0.00             0.28               9956.66  
0.01            0.00          0.28             0.00             0.29               9956.95  
0.02            0.00          0.05             0.00             0.07               9957.02  
0.01            0.00          0.05             0.00             0.06               9957.08  
0.01            0.00          0.26             0.00             0.27               9957.35  
0.02            0.00          0.05             0.00             0.07               9957.42  
0.01            0.00          0.05             0.00             0.06               9957.48  
0.01            0.00          0.05             0.00             0.06               9957.54  
0.01            0.00          0.05             0.00             0.06               9957.60  
0.01            0.00          0.05             0.00             0.06               9957.66  
0.01            0.00          0.05             0.00             0.06               9957.72  
0.01            0.00          0.06             0.00             0.07               9957.79  
0.01            0.00          0.06             0.00             0.07               9957.86  
0.02            0.00          0.05             0.00             0.07               9957.93  
0.01            0.00          0.05             0.00             0.06               9957.99  
0.01            0.00          0.05             0.00             0.06               9958.05  
0.01            0.00          0.27             0.00             0.28               9958.33  
0.01            0.00          0.05             0.00             0.06               9958.39  
0.01            0.00          0.05             0.00             0.06               9958.45  
0.01            0.00          0.05             0.00             0.06               9958.51  
0.01            0.00          0.05             0.00             0.06               9958.57  
0.01            0.00          0.26             0.00             0.27               9958.84  
0.02            0.00          0.05             0.00             0.07               9958.91  
0.01            0.00          0.05             0.00             0.06               9958.97  
0.01            0.00          0.05             0.00             0.06               9959.03  
0.01            0.00          0.05             0.00             0.06               9959.09  
0.01            0.00          0.05             0.00             0.06               9959.15  
0.01            0.00          0.23             0.00             0.24               9959.39  
0.01            0.00          0.05             0.00             0.06               9959.45  
0.02            0.00          0.05             0.00             0.07               9959.52  
0.01            0.00          0.05             0.00             0.06               9959.58  
0.01            0.00          0.04             0.00             0.05               9959.63  
