NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	34.76	29.00	3.51	0.50	1.75
2	4	2	36	54.93	49.84	2.85	0.52	1.72
3	9	3	64	78.67	71.48	4.07	1.23	1.89
4	16	4	100	136.32	123.49	6.45	3.89	2.50
5	25	5	144	245.02	219.02	9.36	13.01	3.64
6	36	6	196	429.46	366.84	17.02	39.79	5.80
7	49	7	256	596.09	431.22	26.86	127.08	10.93
8	64	8	324	1018.29	644.38	46.34	307.15	20.42
9	81	9	400	1569.68	737.34	68.94	725.18	38.21
10	100	10	484	2446.55	978.88	102.67	1295.65	69.36
11	121	11	576	4151.54	1285.57	155.65	2589.29	121.02
12	144	12	676	7528.63	2048.09	219.56	5052.97	208.02
13	169	13	784	11953.78	2667.79	305.33	8635.95	344.69
14	196	14	900	20321.52	3006.04	405.92	16333.17	576.39
15	225	15	1024	32205.08	3657.40	537.72	27078.28	931.69
