NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	2.14	1.26	0.68	0.20	0.00
1	2	2	12	1.81	1.45	0.26	0.11	0.00
1	12	12	20	1.83	1.19	0.44	0.20	0.00
2	8	8	20	1.76	0.88	0.68	0.20	0.00
1	10	10	36	4.23	3.24	0.80	0.19	0.00
2	14	14	32	2.31	0.99	1.05	0.28	0.00
1	2	2	12	1.54	1.17	0.26	0.11	0.00
2	8	8	20	1.79	0.81	0.79	0.20	0.00
3	16	16	76	4.01	0.84	2.74	0.43	0.00
1	4	4	9	2.78	2.44	0.22	0.12	0.00
2	8	8	20	1.84	0.99	0.66	0.19	0.00
1	21	21	32	1.81	0.83	0.70	0.28	0.00
1	12	12	20	2.17	1.54	0.44	0.19	0.00
1	48	48	136	4.71	0.67	3.34	0.70	0.00
1	240	240	408	15.24	1.25	11.24	2.74	0.00
1	45	45	128	4.23	0.77	2.88	0.58	0.00
1	45	45	128	4.51	0.96	2.97	0.58	0.00
2	8	8	20	1.74	0.90	0.65	0.19	0.00
2	8	8	20	1.74	0.91	0.64	0.20	0.00
2	8	8	20	1.99	1.16	0.64	0.18	0.00
2	8	8	20	1.78	0.92	0.67	0.19	0.00
1	4	4	18	2.58	2.06	0.39	0.12	0.00
2	8	8	20	1.65	0.81	0.65	0.19	0.00
1	12	12	20	1.96	1.33	0.44	0.19	0.00
1	12	12	20	1.87	1.25	0.43	0.20	0.00
3	14	14	67	3.69	0.80	2.52	0.37	0.00
1	2	2	12	1.53	1.17	0.26	0.10	0.00
2	5	5	24	2.01	1.21	0.63	0.16	0.00
2	8	8	20	2.65	1.76	0.71	0.19	0.00
1	12	12	20	1.71	1.07	0.44	0.20	0.00
2	10	10	36	3.80	2.82	0.80	0.19	0.00
2	8	8	20	1.89	1.06	0.64	0.19	0.00
2	8	8	20	2.17	1.34	0.65	0.19	0.00
2	8	8	20	1.98	1.17	0.63	0.18	0.00
1	21	21	32	2.15	1.20	0.68	0.28	0.00
1	12	12	20	1.79	1.17	0.43	0.20	0.00
1	12	12	20	1.83	1.20	0.43	0.19	0.00
3	14	14	59	3.58	1.12	2.11	0.35	0.00
2	14	14	32	2.32	1.03	1.02	0.27	0.00
1	12	12	20	1.95	1.32	0.43	0.20	0.00
1	12	12	20	1.92	1.29	0.44	0.19	0.00
2	9	9	32	4.39	3.58	0.63	0.18	0.00
2	9	9	32	4.21	3.39	0.63	0.19	0.00
1	12	12	20	1.90	1.27	0.43	0.19	0.00
2	9	9	32	4.01	3.18	0.65	0.18	0.00
2	9	9	32	4.00	3.21	0.62	0.18	0.00
2	9	9	32	4.20	3.41	0.61	0.18	0.00
2	9	9	32	4.47	3.64	0.64	0.18	0.00
2	9	9	32	3.81	3.00	0.63	0.18	0.00
2	9	9	32	3.26	2.46	0.63	0.17	0.00
2	9	9	32	4.25	3.45	0.63	0.18	0.00
2	9	9	32	3.85	3.03	0.64	0.18	0.00
2	9	9	32	4.58	3.76	0.63	0.19	0.00
2	9	9	32	3.96	3.14	0.64	0.18	0.00
2	9	9	32	4.01	3.16	0.66	0.18	0.00
2	9	9	32	4.00	3.17	0.65	0.18	0.00
1	12	12	20	1.49	0.85	0.44	0.20	0.00
1	12	12	20	1.88	1.25	0.43	0.20	0.00
1	12	12	20	1.83	1.22	0.43	0.19	0.00
1	12	12	20	1.53	0.91	0.43	0.19	0.00
2	8	8	20	1.96	1.14	0.64	0.18	0.00
3	14	14	66	3.98	1.04	2.56	0.38	0.00
2	8	8	20	1.79	0.96	0.64	0.19	0.00
1	2	2	12	1.42	1.07	0.26	0.10	0.00
2	14	14	32	2.42	1.13	1.03	0.27	0.00
2	14	14	32	2.59	1.29	1.03	0.27	0.00
2	14	14	32	2.53	1.24	1.02	0.27	0.00
1	2	2	12	2.03	1.68	0.26	0.10	0.00
1	2	2	12	2.00	1.64	0.25	0.11	0.00
1	2	2	12	2.22	1.85	0.25	0.12	0.00
2	14	14	32	2.75	1.45	1.03	0.27	0.00
2	14	14	32	2.69	1.35	1.06	0.28	0.00
2	14	14	32	2.79	1.51	1.02	0.26	0.00
2	14	14	32	2.70	1.39	1.03	0.28	0.00
2	14	14	32	3.12	1.82	1.03	0.27	0.00
2	14	14	32	2.89	1.59	1.04	0.27	0.00
2	14	14	32	2.50	1.21	1.02	0.28	0.00
2	14	14	32	2.77	1.47	1.03	0.27	0.00
2	15	15	48	3.83	2.44	1.10	0.29	0.00
1	2	2	18	1.58	1.05	0.41	0.12	0.00
2	8	8	20	2.35	1.48	0.68	0.19	0.00
2	14	14	32	2.66	1.34	1.05	0.28	0.00
2	8	8	20	2.52	1.68	0.65	0.19	0.00
2	14	14	32	3.00	1.69	1.04	0.27	0.00
1	2	2	12	1.90	1.54	0.26	0.10	0.00
2	14	14	32	2.87	1.57	1.03	0.27	0.00
2	14	14	32	2.81	1.51	1.03	0.27	0.00
3	14	14	69	4.08	1.16	2.54	0.37	0.00
2	14	14	32	2.89	1.56	1.05	0.28	0.00
2	14	14	32	3.16	1.83	1.05	0.28	0.00
1	2	2	12	2.09	1.72	0.26	0.11	0.00
1	12	12	20	1.66	1.02	0.44	0.20	0.00
2	8	8	20	1.75	0.92	0.64	0.19	0.00
2	14	14	32	2.43	1.15	1.01	0.26	0.00
2	8	8	20	2.15	1.30	0.66	0.19	0.00
1	21	21	32	1.89	0.90	0.69	0.29	0.00
1	12	12	20	1.91	1.25	0.45	0.20	0.00
3	20	20	96	4.50	0.78	3.27	0.45	0.00
2	14	14	32	3.04	1.73	1.04	0.28	0.00
2	14	14	32	3.09	1.78	1.03	0.27	0.00
2	14	14	32	2.90	1.59	1.03	0.27	0.00
2	14	14	32	3.07	1.77	1.03	0.28	0.00
2	14	14	32	3.06	1.76	1.03	0.27	0.00
2	14	14	32	2.58	1.28	1.03	0.27	0.00
2	14	14	32	2.46	1.18	1.02	0.27	0.00
1	2	2	12	1.71	1.35	0.25	0.10	0.00
2	14	14	32	2.51	1.19	1.04	0.27	0.00
2	14	14	32	2.93	1.59	1.06	0.27	0.00
2	14	14	32	2.84	1.47	1.09	0.28	0.00
2	14	14	32	2.80	1.47	1.06	0.27	0.00
2	14	14	32	2.74	1.40	1.06	0.28	0.00
2	14	14	32	2.90	1.61	1.03	0.27	0.00
2	14	14	32	3.14	1.82	1.05	0.27	0.00
2	14	14	32	3.03	1.71	1.04	0.27	0.00
2	14	14	32	2.59	1.26	1.05	0.28	0.00
2	14	14	32	2.82	1.54	1.02	0.27	0.00
1	12	12	20	2.13	1.47	0.46	0.20	0.00
2	8	8	20	1.68	0.88	0.62	0.18	0.00
1	2	2	12	1.46	1.12	0.25	0.10	0.00
1	18	18	28	2.00	1.16	0.59	0.25	0.00
2	14	14	32	2.35	1.05	1.03	0.26	0.00
2	8	8	20	1.89	1.04	0.66	0.20	0.00
2	8	8	20	2.08	1.23	0.66	0.20	0.00
3	14	14	72	4.36	1.46	2.55	0.35	0.00
1	15	15	48	2.00	0.81	0.97	0.22	0.00
1	21	21	32	1.43	0.49	0.67	0.28	0.00
1	12	12	20	1.66	1.03	0.44	0.19	0.00
2	8	8	20	4.94	4.12	0.64	0.19	0.00
3	27	27	189	9.73	1.17	7.91	0.65	0.00
1	4	4	18	1.48	1.04	0.33	0.11	0.00
1	4	4	18	1.57	1.08	0.37	0.12	0.00
1	12	12	20	2.08	1.45	0.44	0.19	0.00
1	12	12	20	1.76	1.13	0.44	0.20	0.00
1	2	2	12	1.29	0.93	0.25	0.10	0.00
2	8	8	20	2.05	1.21	0.65	0.19	0.00
2	8	8	20	1.99	1.15	0.65	0.19	0.00
2	14	14	32	7.25	5.95	1.03	0.27	0.00
2	8	8	20	1.79	0.95	0.65	0.19	0.00
3	16	16	78	3.68	0.60	2.66	0.42	0.00
3	16	16	79	3.67	0.56	2.70	0.42	0.00
1	12	12	20	1.35	0.73	0.43	0.19	0.00
1	12	12	20	1.50	0.88	0.43	0.19	0.00
2	8	8	47	12.73	11.30	1.18	0.26	0.00
1	12	12	20	1.53	0.92	0.42	0.19	0.00
2	8	8	20	1.37	0.54	0.64	0.18	0.00
1	12	12	20	1.81	1.21	0.42	0.19	0.00
2	8	8	20	2.08	1.26	0.64	0.18	0.00
2	8	8	20	1.77	0.93	0.65	0.19	0.00
2	8	8	20	1.84	1.01	0.64	0.19	0.00
2	8	8	20	1.88	1.05	0.64	0.19	0.00
2	8	8	20	1.72	0.86	0.66	0.19	0.00
2	8	8	20	1.86	1.00	0.66	0.20	0.00
3	40	40	265	45.90	18.83	24.15	2.92	0.00
2	8	8	20	1.58	1.10	0.38	0.11	0.00
1	12	12	20	1.68	1.28	0.28	0.12	0.00
2	8	8	20	2.02	1.45	0.44	0.13	0.00
2	8	8	20	1.55	0.88	0.52	0.15	0.00
2	8	8	20	1.69	0.91	0.60	0.18	0.00
2	8	8	20	1.73	0.90	0.64	0.19	0.00
1	12	12	20	1.90	1.26	0.44	0.19	0.00
2	8	8	20	1.82	0.98	0.65	0.19	0.00
2	8	8	20	1.95	1.12	0.64	0.19	0.00
2	8	8	20	1.96	1.13	0.65	0.19	0.00
2	8	8	20	1.91	1.08	0.65	0.19	0.00
2	8	8	20	1.95	1.10	0.65	0.19	0.00
2	8	8	20	1.94	1.10	0.65	0.19	0.00
2	8	8	20	1.95	1.11	0.65	0.19	0.00
2	8	8	20	1.92	1.08	0.65	0.19	0.00
2	8	8	20	1.79	0.96	0.65	0.18	0.00
2	8	8	20	1.78	0.95	0.64	0.19	0.00
2	8	8	20	2.03	1.20	0.64	0.19	0.00
1	12	12	20	1.92	1.28	0.44	0.20	0.00
2	8	8	20	1.87	1.04	0.65	0.18	0.00
1	3	3	16	1.45	1.02	0.32	0.11	0.00
2	8	8	20	2.04	1.21	0.64	0.18	0.00
5	16	16	125	7.11	1.32	5.13	0.66	0.00
1	12	12	20	1.81	1.22	0.41	0.18	0.00
3	15	15	54	3.38	1.49	1.57	0.32	0.00
4	17	17	51	3.33	1.12	1.75	0.46	0.00
2	14	14	32	2.94	1.66	1.02	0.27	0.00
2	8	8	20	2.30	1.46	0.65	0.19	0.00
2	8	8	20	2.52	1.69	0.65	0.19	0.00
4	11	11	36	2.62	1.20	1.10	0.32	0.00
2	8	8	20	2.03	1.20	0.64	0.18	0.00
1	9	9	32	2.25	1.44	0.65	0.16	0.00
2	8	8	20	2.06	1.22	0.65	0.19	0.00
2	8	8	20	2.20	1.37	0.64	0.19	0.00
3	54	54	144	5.81	0.72	4.08	1.01	0.00
3	24	24	63	3.40	0.69	2.21	0.50	0.00
2	45	45	153	5.13	0.73	3.70	0.70	0.00
2	8	8	20	2.06	1.29	0.60	0.17	0.00
1	21	21	32	2.47	1.55	0.65	0.27	0.00
1	21	21	32	1.85	0.93	0.65	0.27	0.00
1	21	21	32	3.50	2.55	0.66	0.28	0.00
1	21	21	32	3.40	2.45	0.66	0.28	0.00
1	21	21	32	4.22	3.29	0.65	0.28	0.00
1	21	21	32	3.36	2.41	0.68	0.27	0.00
1	21	21	32	3.26	2.31	0.67	0.27	0.00
1	21	21	32	3.76	2.84	0.65	0.27	0.00
1	12	12	20	1.57	0.94	0.43	0.20	0.00
1	12	12	20	1.55	0.92	0.44	0.19	0.00
4	1	1	62	8.18	4.19	4.00	0.00	0.00
2	8	8	20	2.15	1.36	0.60	0.18	0.00
2	8	8	20	2.08	1.25	0.65	0.19	0.00
3	6	6	41	2.79	1.63	0.97	0.18	0.00
2	8	8	20	2.48	1.61	0.67	0.20	0.00
2	14	14	32	3.00	1.70	1.04	0.27	0.00
1	18	18	28	2.49	1.64	0.60	0.25	0.00
2	8	8	20	2.00	1.15	0.66	0.20	0.00
1	21	21	32	2.22	1.28	0.66	0.28	0.00
2	8	8	20	2.76	1.92	0.66	0.19	0.00
2	8	8	20	2.55	1.68	0.68	0.19	0.00
2	45	45	122	4.30	0.70	2.95	0.66	0.00
2	8	8	20	1.83	1.03	0.62	0.18	0.00
2	8	8	20	2.19	1.38	0.63	0.19	0.00
2	8	8	20	2.42	1.57	0.65	0.19	0.00
1	15	15	48	1.78	0.59	0.96	0.23	0.00
1	2	2	12	2.00	1.65	0.25	0.10	0.00
2	8	8	20	2.07	1.23	0.64	0.19	0.00
2	8	8	20	1.82	0.98	0.65	0.19	0.00
1	12	12	20	1.66	1.03	0.43	0.19	0.00
6	29	29	400	20.10	1.73	17.69	0.68	0.00
1	18	18	56	3.17	2.28	0.73	0.16	0.00
1	21	21	32	1.87	1.02	0.60	0.26	0.00
1	2	2	12	1.76	1.42	0.24	0.10	0.00
2	8	8	20	2.07	1.22	0.66	0.19	0.00
2	8	8	20	2.06	1.23	0.65	0.19	0.00
2	8	8	20	2.37	1.51	0.66	0.19	0.00
2	8	8	20	2.08	1.25	0.65	0.19	0.00
