NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	14.06	13.81	0.25	0.00	0.00
2	4	2	36	25.03	23.85	0.86	0.32	0.00
3	9	3	64	34.77	32.32	1.91	0.54	0.00
4	16	4	100	44.36	40.24	3.40	0.73	0.00
5	25	5	144	54.10	48.31	4.84	0.95	0.00
6	36	6	196	69.19	61.04	6.96	1.19	0.00
7	49	7	256	80.08	69.55	9.21	1.32	0.00
8	64	8	324	104.82	90.28	12.97	1.58	0.00
9	81	9	400	118.27	100.30	16.25	1.71	0.00
10	100	10	484	129.38	109.04	18.44	1.89	0.00
11	121	11	576	143.49	118.45	22.93	2.12	0.00
12	144	12	676	200.42	169.74	28.02	2.66	0.00
13	169	13	784	262.15	226.44	32.42	3.29	0.00
14	196	14	900	309.81	266.33	39.40	4.08	0.00
15	225	15	1024	361.60	299.52	57.02	5.06	0.00
