NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	23.07	19.23	3.25	0.59	0.00
1	2	2	12	10.04	8.84	1.02	0.17	0.00
1	12	12	20	13.31	11.79	1.27	0.25	0.00
2	8	8	20	9.55	8.27	1.09	0.19	0.00
1	10	10	36	13.52	11.58	1.79	0.15	0.00
2	14	14	32	14.39	12.69	1.50	0.21	0.00
1	2	2	12	8.03	7.29	0.67	0.07	0.00
2	8	8	20	7.45	6.40	0.93	0.12	0.00
3	16	16	76	30.76	28.06	2.49	0.21	0.00
1	4	4	9	7.32	6.81	0.44	0.07	0.00
2	8	8	20	5.84	4.97	0.76	0.11	0.00
1	21	21	32	8.77	7.67	0.97	0.13	0.00
1	12	12	20	5.61	4.91	0.60	0.10	0.00
1	48	48	136	55.41	51.35	3.83	0.24	0.00
1	240	240	408	82.88	71.82	10.09	0.96	0.00
1	45	45	128	59.39	56.19	3.01	0.19	0.00
1	45	45	128	61.08	57.78	3.10	0.20	0.00
2	8	8	20	4.90	4.21	0.60	0.09	0.00
2	8	8	20	4.46	3.80	0.58	0.08	0.00
2	8	8	20	4.83	4.18	0.57	0.08	0.00
2	8	8	20	4.33	3.68	0.57	0.08	0.00
1	4	4	18	7.26	6.67	0.54	0.05	0.00
2	8	8	20	5.07	4.35	0.63	0.08	0.00
1	12	12	20	5.20	4.49	0.62	0.09	0.00
1	12	12	20	4.60	3.98	0.54	0.08	0.00
3	14	14	67	12.29	10.44	1.74	0.12	0.00
1	2	2	12	3.29	2.90	0.34	0.04	0.00
2	5	5	24	5.03	4.35	0.62	0.06	0.00
2	8	8	20	5.16	4.56	0.53	0.07	0.00
1	12	12	20	4.20	3.61	0.52	0.07	0.00
2	10	10	36	8.08	7.08	0.92	0.07	0.00
2	8	8	20	4.40	3.78	0.54	0.07	0.00
2	8	8	20	5.13	4.51	0.55	0.07	0.00
2	8	8	20	4.26	3.68	0.51	0.07	0.00
1	21	21	32	8.59	7.64	0.84	0.11	0.00
1	12	12	20	4.62	4.01	0.54	0.07	0.00
1	12	12	20	4.62	4.01	0.54	0.08	0.00
3	14	14	59	9.27	7.71	1.45	0.11	0.00
2	14	14	32	8.14	7.22	0.82	0.10	0.00
1	12	12	20	4.50	3.91	0.53	0.07	0.00
1	12	12	20	5.74	5.02	0.64	0.08	0.00
2	9	9	32	12.28	11.27	0.93	0.08	0.00
2	9	9	32	9.69	8.83	0.80	0.06	0.00
1	12	12	20	4.49	3.91	0.51	0.07	0.00
2	9	9	32	10.28	9.43	0.79	0.06	0.00
2	9	9	32	11.96	11.03	0.86	0.07	0.00
2	9	9	32	12.80	11.80	0.93	0.07	0.00
2	9	9	32	9.99	9.13	0.80	0.06	0.00
2	9	9	32	9.78	8.93	0.78	0.06	0.00
2	9	9	32	10.70	9.84	0.80	0.06	0.00
2	9	9	32	10.03	9.17	0.80	0.06	0.00
2	9	9	32	9.62	8.69	0.86	0.07	0.00
2	9	9	32	10.17	9.29	0.81	0.07	0.00
2	9	9	32	10.38	9.48	0.84	0.07	0.00
2	9	9	32	9.39	8.48	0.84	0.07	0.00
2	9	9	32	10.33	9.45	0.81	0.06	0.00
1	12	12	20	4.78	4.08	0.62	0.08	0.00
1	12	12	20	6.57	5.78	0.70	0.09	0.00
1	12	12	20	5.73	5.02	0.62	0.08	0.00
1	12	12	20	4.18	3.61	0.51	0.07	0.00
2	8	8	20	4.26	3.68	0.51	0.07	0.00
3	14	14	66	12.13	10.38	1.65	0.11	0.00
2	8	8	20	4.13	3.55	0.52	0.07	0.00
1	2	2	12	2.75	2.39	0.33	0.03	0.00
2	14	14	32	8.14	7.27	0.78	0.09	0.00
2	14	14	32	8.17	7.29	0.79	0.09	0.00
2	14	14	32	8.26	7.39	0.77	0.09	0.00
1	2	2	12	3.49	3.14	0.32	0.03	0.00
1	2	2	12	3.35	3.00	0.33	0.03	0.00
1	2	2	12	3.50	3.15	0.32	0.03	0.00
2	14	14	32	8.79	7.91	0.80	0.09	0.00
2	14	14	32	9.71	8.77	0.84	0.10	0.00
2	14	14	32	9.55	8.61	0.84	0.10	0.00
2	14	14	32	10.79	9.71	0.96	0.12	0.00
2	14	14	32	8.85	7.98	0.78	0.08	0.00
2	14	14	32	8.72	7.84	0.79	0.09	0.00
2	14	14	32	8.42	7.55	0.79	0.09	0.00
2	14	14	32	8.49	7.63	0.78	0.09	0.00
2	15	15	48	12.92	11.63	1.20	0.09	0.00
1	2	2	18	5.06	4.55	0.48	0.03	0.00
2	8	8	20	5.57	4.91	0.59	0.07	0.00
2	14	14	32	8.99	8.12	0.78	0.08	0.00
2	8	8	20	4.92	4.36	0.50	0.06	0.00
2	14	14	32	9.25	8.33	0.83	0.09	0.00
1	2	2	12	3.29	2.93	0.33	0.03	0.00
2	14	14	32	9.74	8.77	0.87	0.09	0.00
2	14	14	32	11.14	10.06	0.96	0.12	0.00
3	14	14	69	13.46	11.72	1.63	0.11	0.00
2	14	14	32	8.80	7.93	0.79	0.08	0.00
2	14	14	32	9.30	8.43	0.78	0.08	0.00
1	2	2	12	3.80	3.39	0.38	0.03	0.00
1	12	12	20	4.67	4.00	0.59	0.07	0.00
2	8	8	20	3.89	3.33	0.50	0.06	0.00
2	14	14	32	8.47	7.54	0.84	0.09	0.00
2	8	8	20	4.30	3.73	0.51	0.06	0.00
1	21	21	32	7.74	6.85	0.80	0.09	0.00
1	12	12	20	4.14	3.57	0.52	0.06	0.00
3	20	20	96	13.10	10.76	2.22	0.13	0.00
2	14	14	32	9.09	8.24	0.76	0.09	0.00
2	14	14	32	8.72	7.85	0.78	0.08	0.00
2	14	14	32	8.49	7.63	0.78	0.08	0.00
2	14	14	32	8.63	7.78	0.77	0.09	0.00
2	14	14	32	8.74	7.87	0.79	0.09	0.00
2	14	14	32	8.25	7.39	0.77	0.08	0.00
2	14	14	32	8.34	7.49	0.77	0.09	0.00
1	2	2	12	3.61	3.17	0.41	0.03	0.00
2	14	14	32	8.12	7.24	0.79	0.09	0.00
2	14	14	32	9.46	8.46	0.90	0.10	0.00
2	14	14	32	8.56	7.70	0.77	0.08	0.00
2	14	14	32	9.18	8.19	0.89	0.10	0.00
2	14	14	32	8.27	7.39	0.80	0.08	0.00
2	14	14	32	8.72	7.85	0.78	0.08	0.00
2	14	14	32	8.80	7.93	0.79	0.09	0.00
2	14	14	32	8.58	7.71	0.78	0.09	0.00
2	14	14	32	8.51	7.62	0.80	0.09	0.00
2	14	14	32	8.87	8.00	0.78	0.08	0.00
1	12	12	20	4.80	4.24	0.50	0.06	0.00
2	8	8	20	3.85	3.28	0.52	0.06	0.00
1	2	2	12	2.69	2.33	0.33	0.03	0.00
1	18	18	28	6.84	6.06	0.69	0.08	0.00
2	14	14	32	8.41	7.54	0.79	0.08	0.00
2	8	8	20	3.97	3.40	0.51	0.06	0.00
2	8	8	20	4.20	3.64	0.50	0.06	0.00
3	14	14	72	22.86	20.87	1.87	0.11	0.00
1	15	15	48	59.23	57.96	1.20	0.07	0.00
1	21	21	32	8.44	7.51	0.83	0.09	0.00
1	12	12	20	4.04	3.47	0.51	0.06	0.00
2	8	8	20	11.88	11.31	0.51	0.06	0.00
3	27	27	189	25.06	20.79	4.09	0.18	0.00
1	4	4	18	4.47	3.97	0.47	0.03	0.00
1	4	4	18	4.77	4.27	0.47	0.03	0.00
1	12	12	20	4.74	4.16	0.51	0.06	0.00
1	12	12	20	4.01	3.44	0.51	0.06	0.00
1	2	2	12	2.62	2.27	0.32	0.03	0.00
2	8	8	20	4.77	4.12	0.58	0.07	0.00
2	8	8	20	4.29	3.70	0.53	0.07	0.00
2	14	14	32	13.86	12.95	0.82	0.09	0.00
2	8	8	20	3.90	3.31	0.52	0.06	0.00
3	16	16	78	24.46	22.41	1.92	0.12	0.00
3	16	16	79	24.05	22.06	1.87	0.12	0.00
1	12	12	20	4.55	3.92	0.56	0.07	0.00
1	12	12	20	3.94	3.38	0.50	0.06	0.00
2	8	8	47	56.01	54.66	1.27	0.08	0.00
1	12	12	20	4.21	3.65	0.50	0.06	0.00
2	8	8	20	3.87	3.31	0.50	0.06	0.00
1	12	12	20	4.39	3.81	0.51	0.06	0.00
2	8	8	20	4.05	3.49	0.50	0.06	0.00
2	8	8	20	3.98	3.42	0.50	0.06	0.00
2	8	8	20	3.90	3.33	0.51	0.06	0.00
2	8	8	20	3.93	3.37	0.51	0.06	0.00
2	8	8	20	3.87	3.30	0.51	0.06	0.00
2	8	8	20	4.05	3.47	0.52	0.06	0.00
3	40	40	265	8244.78	8224.10	18.14	2.54	0.00
2	8	8	20	4.71	4.07	0.57	0.07	0.00
1	12	12	20	3.91	3.33	0.52	0.07	0.00
2	8	8	20	4.39	3.81	0.52	0.06	0.00
2	8	8	20	3.81	3.24	0.51	0.06	0.00
2	8	8	20	4.22	3.61	0.54	0.06	0.00
2	8	8	20	3.83	3.26	0.51	0.06	0.00
1	12	12	20	4.20	3.63	0.52	0.06	0.00
2	8	8	20	4.15	3.52	0.57	0.07	0.00
2	8	8	20	4.19	3.52	0.60	0.07	0.00
2	8	8	20	4.31	3.67	0.57	0.07	0.00
2	8	8	20	3.70	3.13	0.51	0.06	0.00
2	8	8	20	3.70	3.13	0.51	0.06	0.00
2	8	8	20	3.71	3.14	0.51	0.06	0.00
2	8	8	20	4.30	3.64	0.59	0.07	0.00
2	8	8	20	3.73	3.15	0.51	0.06	0.00
2	8	8	20	3.70	3.13	0.52	0.06	0.00
2	8	8	20	4.38	3.73	0.59	0.07	0.00
2	8	8	20	4.20	3.64	0.50	0.06	0.00
1	12	12	20	4.12	3.55	0.51	0.06	0.00
2	8	8	20	3.80	3.24	0.51	0.06	0.00
1	3	3	16	4.33	3.89	0.41	0.03	0.00
2	8	8	20	4.22	3.66	0.49	0.06	0.00
5	16	16	125	26.58	23.16	3.22	0.19	0.00
