NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	32.51	27.58	4.92	0.00	0.00
2	4	2	108	45.18	38.46	6.40	0.32	0.00
3	9	3	250	60.38	49.51	10.57	0.30	0.00
4	16	4	482	90.19	73.43	16.42	0.33	0.00
5	25	5	825	148.08	119.94	27.67	0.47	0.00
6	36	6	1296	233.17	186.44	46.07	0.66	0.00
7	49	7	1918	300.67	226.05	73.70	0.91	0.00
8	64	8	2712	456.08	330.48	124.08	1.52	0.00
9	81	9	3701	599.71	403.94	193.50	2.27	0.00
10	100	10	4903	795.61	522.11	271.03	2.47	0.00
11	121	11	6322	1029.28	669.86	356.10	3.32	0.00
12	144	12	8020	1503.93	1007.80	492.09	4.05	0.00
13	169	13	9987	1970.17	1313.04	651.96	5.18	0.00
14	196	14	12254	2320.01	1462.86	850.88	6.28	0.00
15	225	15	14837	2875.39	1749.18	1118.90	7.32	0.00
