Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            43.07         0.00             0.00             43.07              1100.72  
0.44            0.00          0.04             0.00             0.48               1101.20  
0.05            0.00          0.02             0.00             0.07               1101.27  
0.03            0.00          0.02             0.00             0.05               1101.32  
0.03            0.00          0.02             0.00             0.05               1101.37  
0.03            0.00          0.02             0.00             0.05               1101.42  
0.03            0.00          0.02             0.00             0.05               1101.47  
0.03            0.00          0.02             0.00             0.05               1101.52  
0.03            0.00          0.01             0.00             0.04               1101.56  
0.03            0.00          0.01             0.00             0.04               1101.60  
0.03            0.00          0.01             0.00             0.04               1101.64  
0.03            0.00          0.01             0.00             0.04               1101.68  
0.03            0.00          0.01             0.00             0.04               1101.72  
0.03            0.00          0.01             0.00             0.04               1101.76  
0.03            0.00          0.01             0.00             0.04               1101.80  
0.04            0.00          0.02             0.00             0.06               1101.86  
0.03            0.00          0.01             0.00             0.04               1101.90  
0.03            0.00          0.01             0.00             0.04               1101.94  
0.02            0.00          0.01             0.00             0.03               1101.97  
0.03            0.00          0.01             0.00             0.04               1102.01  
0.04            0.00          0.01             0.00             0.05               1102.06  
0.03            0.00          0.01             0.00             0.04               1102.10  
0.02            0.00          0.01             0.00             0.03               1102.13  
0.02            0.00          0.01             0.00             0.03               1102.16  
0.02            0.00          0.01             0.00             0.03               1102.19  
0.03            0.00          0.01             0.00             0.04               1102.23  
0.03            0.00          0.01             0.00             0.04               1102.27  
0.02            0.00          0.01             0.00             0.03               1102.30  
0.02            0.00          0.01             0.00             0.03               1102.33  
0.03            0.00          0.01             0.00             0.04               1102.37  
0.02            0.00          0.01             0.00             0.03               1102.40  
0.03            0.00          0.01             0.00             0.04               1102.44  
0.18            0.00          0.03             0.00             0.21               1102.65  
0.04            0.00          0.00             0.00             0.04               1102.69  
0.03            0.00          0.00             0.00             0.03               1102.72  
0.03            0.00          0.01             0.00             0.04               1102.76  
0.05            0.00          0.00             0.00             0.05               1102.81  
0.00            0.00          0.00             0.61             0.61               1103.42  
