NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	22.63	18.78	3.33	0.51	0.00
1	2	2	12	11.14	9.97	0.99	0.18	0.00
1	12	12	20	13.39	11.83	1.34	0.23	0.00
2	8	8	20	9.16	7.86	1.14	0.16	0.00
1	10	10	36	14.19	12.05	1.99	0.15	0.00
2	14	14	32	14.43	12.56	1.68	0.19	0.00
1	2	2	12	8.06	7.38	0.60	0.07	0.00
2	8	8	20	7.12	6.11	0.90	0.12	0.00
3	16	16	76	30.82	27.31	3.34	0.18	0.00
1	4	4	9	7.11	6.67	0.37	0.07	0.00
2	8	8	20	5.09	4.28	0.71	0.10	0.00
1	21	21	32	9.11	8.00	0.98	0.13	0.00
1	12	12	20	6.10	5.33	0.67	0.10	0.00
1	48	48	136	57.10	51.47	5.40	0.23	0.00
1	240	240	408	92.56	72.89	18.65	1.02	0.00
1	45	45	128	59.82	55.14	4.49	0.19	0.00
1	45	45	128	61.84	56.67	4.96	0.21	0.00
2	8	8	20	5.88	4.99	0.79	0.10	0.00
2	8	8	20	4.34	3.68	0.59	0.07	0.00
2	8	8	20	4.65	3.99	0.58	0.07	0.00
2	8	8	20	4.23	3.57	0.59	0.07	0.00
1	4	4	18	7.48	6.80	0.62	0.06	0.00
2	8	8	20	4.42	3.71	0.63	0.08	0.00
1	12	12	20	4.81	4.10	0.63	0.08	0.00
1	12	12	20	4.63	3.93	0.62	0.08	0.00
3	14	14	67	12.80	10.22	2.46	0.13	0.00
1	2	2	12	3.26	2.84	0.38	0.05	0.00
2	5	5	24	5.25	4.44	0.75	0.07	0.00
2	8	8	20	5.36	4.66	0.62	0.08	0.00
1	12	12	20	4.34	3.64	0.61	0.09	0.00
2	10	10	36	8.53	7.30	1.15	0.08	0.00
2	8	8	20	4.47	3.74	0.64	0.08	0.00
2	8	8	20	4.74	4.02	0.64	0.08	0.00
2	8	8	20	4.55	3.85	0.62	0.08	0.00
1	21	21	32	8.53	7.43	0.98	0.11	0.00
1	12	12	20	4.79	4.11	0.61	0.08	0.00
1	12	12	20	5.03	4.33	0.63	0.08	0.00
3	14	14	59	10.52	8.27	2.11	0.13	0.00
2	14	14	32	8.56	7.46	1.01	0.10	0.00
1	12	12	20	4.65	3.97	0.60	0.07	0.00
1	12	12	20	4.73	4.06	0.60	0.07	0.00
2	9	9	32	10.42	9.39	0.97	0.07	0.00
2	9	9	32	9.90	8.89	0.94	0.07	0.00
