Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            1192.28        0.00             0.00             1192.28            27288.30 
2.99            0.00          2.61             0.00             5.60               27293.90 
0.04            0.00          1.31             0.00             1.35               27295.25 
0.03            0.00          1.20             0.00             1.23               27296.48 
0.03            0.00          1.19             0.00             1.22               27297.70 
0.03            0.00          1.17             0.00             1.20               27298.90 
0.03            0.00          2.41             0.00             2.44               27301.34 
0.04            0.00          1.11             0.00             1.15               27302.49 
0.03            0.00          1.37             0.00             1.40               27303.89 
0.03            0.00          1.17             0.00             1.20               27305.09 
0.03            0.00          1.17             0.00             1.20               27306.29 
0.03            0.00          2.39             0.00             2.42               27308.71 
0.03            0.00          1.31             0.00             1.34               27310.05 
0.03            0.00          1.24             0.00             1.27               27311.32 
0.03            0.00          1.11             0.00             1.14               27312.46 
0.03            0.00          1.15             0.00             1.18               27313.64 
0.03            0.00          1.23             0.00             1.26               27314.90 
0.03            0.00          1.24             0.00             1.27               27316.17 
0.02            0.00          1.26             0.00             1.28               27317.45 
0.02            0.00          1.24             0.00             1.26               27318.71 
0.02            0.00          1.20             0.00             1.22               27319.93 
0.03            0.00          1.25             0.00             1.28               27321.21 
0.03            0.00          1.30             0.00             1.33               27322.54 
0.03            0.00          1.22             0.00             1.25               27323.79 
0.03            0.00          1.22             0.00             1.25               27325.04 
0.03            0.00          1.22             0.00             1.25               27326.29 
0.02            0.00          0.18             0.00             0.20               27326.49 
0.02            0.00          0.18             0.00             0.20               27326.69 
0.02            0.00          0.18             0.00             0.20               27326.89 
0.02            0.00          0.18             0.00             0.20               27327.09 
0.02            0.00          0.17             0.00             0.19               27327.28 
0.02            0.00          1.14             0.00             1.16               27328.44 
0.02            0.00          0.18             0.00             0.20               27328.64 
0.02            0.00          0.18             0.00             0.20               27328.84 
0.02            0.00          0.18             0.00             0.20               27329.04 
0.02            0.00          0.17             0.00             0.19               27329.23 
0.01            0.00          0.17             0.00             0.18               27329.41 
0.02            0.00          1.12             0.00             1.14               27330.55 
0.02            0.00          0.16             0.00             0.18               27330.73 
0.02            0.00          0.19             0.00             0.21               27330.94 
0.02            0.00          0.17             0.00             0.19               27331.13 
0.01            0.00          0.18             0.00             0.19               27331.32 
0.02            0.00          0.17             0.00             0.19               27331.51 
0.01            0.00          0.17             0.00             0.18               27331.69 
0.03            0.00          0.18             0.00             0.21               27331.90 
0.02            0.00          0.16             0.00             0.18               27332.08 
0.01            0.00          0.17             0.00             0.18               27332.26 
0.01            0.00          0.17             0.00             0.18               27332.44 
0.01            0.00          1.03             0.00             1.04               27333.48 
0.03            0.00          0.16             0.00             0.19               27333.67 
0.02            0.00          1.08             0.00             1.10               27334.77 
0.02            0.00          0.17             0.00             0.19               27334.96 
0.02            0.00          1.06             0.00             1.08               27336.04 
0.02            0.00          0.17             0.00             0.19               27336.23 
0.01            0.00          0.17             0.00             0.18               27336.41 
0.01            0.00          0.17             0.00             0.18               27336.59 
0.01            0.00          0.17             0.00             0.18               27336.77 
0.01            0.00          0.17             0.00             0.18               27336.95 
0.02            0.00          0.15             0.00             0.17               27337.12 
0.01            0.00          1.03             0.00             1.04               27338.16 
0.02            0.00          0.16             0.00             0.18               27338.34 
0.01            0.00          0.16             0.00             0.17               27338.51 
0.01            0.00          0.17             0.00             0.18               27338.69 
0.02            0.00          1.04             0.00             1.06               27339.75 
0.02            0.00          0.15             0.00             0.17               27339.92 
0.02            0.00          0.16             0.00             0.18               27340.10 
0.01            0.00          0.16             0.00             0.17               27340.27 
0.01            0.00          0.16             0.00             0.17               27340.44 
0.01            0.00          0.14             0.00             0.15               27340.59 
0.01            0.00          0.16             0.00             0.17               27340.76 
0.01            0.00          0.17             0.00             0.18               27340.94 
0.02            0.00          0.15             0.00             0.17               27341.11 
0.01            0.00          0.98             0.00             0.99               27342.10 
0.02            0.00          0.15             0.00             0.17               27342.27 
0.02            0.00          1.03             0.00             1.05               27343.32 
0.02            0.00          1.19             0.00             1.21               27344.53 
0.03            0.00          1.14             0.00             1.17               27345.70 
0.02            0.00          1.28             0.00             1.30               27347.00 
0.03            0.00          1.07             0.00             1.10               27348.10 
0.02            0.00          1.17             0.00             1.19               27349.29 
0.02            0.00          1.11             0.00             1.13               27350.42 
0.02            0.00          1.11             0.00             1.13               27351.55 
0.02            0.00          1.13             0.00             1.15               27352.70 
0.02            0.00          1.11             0.00             1.13               27353.83 
0.02            0.00          1.03             0.00             1.05               27354.88 
0.02            0.00          1.12             0.00             1.14               27356.02 
0.02            0.00          1.06             0.00             1.08               27357.10 
0.02            0.00          1.10             0.00             1.12               27358.22 
