NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	31.81	28.73	3.08	0.00	0.00
2	4	2	36	56.33	53.00	3.05	0.29	0.00
3	9	3	64	70.70	66.45	3.99	0.25	0.00
4	16	4	100	127.31	120.70	6.27	0.35	0.00
5	25	5	144	217.63	207.86	9.31	0.46	0.00
6	36	6	196	361.48	343.51	17.16	0.81	0.00
7	49	7	256	435.56	407.28	27.02	1.25	0.00
8	64	8	324	655.54	604.74	48.50	2.30	0.00
9	81	9	400	768.02	691.12	73.25	3.65	0.00
10	100	10	484	1031.54	920.14	106.81	4.59	0.00
11	121	11	576	1373.17	1199.20	165.89	8.07	0.00
12	144	12	676	2177.20	1927.53	238.17	11.49	0.00
13	169	13	784	2854.88	2508.99	329.41	16.47	0.00
14	196	14	900	3309.42	2842.46	447.32	19.63	0.00
15	225	15	1024	4055.04	3439.32	589.95	25.76	0.00
