Policy	BR	AI
0	3.39	0.51
1	3.43	0.56
2	3.70	0.56
3	3.76	0.56
4	3.77	0.57
5	3.80	0.63
6	3.85	0.82
7	4.04	0.64
8	4.07	0.59
9	4.17	0.82
10	4.22	0.67
11	4.25	0.77
12	4.29	0.75
13	4.30	0.73
14	4.34	0.78
15	4.37	0.77
16	4.37	0.80
17	4.37	0.80
18	4.38	0.75
19	4.39	0.84
20	4.44	0.86
21	4.61	0.78
22	4.66	0.76
23	4.76	0.85
24	4.77	0.99
25	4.80	0.96
26	4.83	0.99
27	4.87	0.81
28	4.89	1.00
29	4.90	0.89
30	4.96	1.07
31	4.97	1.01
32	5.00	0.84
33	5.24	1.09
34	5.26	1.04
35	5.28	1.10
36	5.28	1.08
37	5.30	1.09
38	5.30	1.07
39	5.30	1.06
40	5.32	1.06
41	5.33	1.04
42	5.33	1.10
43	5.36	1.04
44	5.38	1.10
45	5.39	1.08
46	5.40	1.05
47	5.42	1.09
48	5.42	1.04
49	5.42	1.08
50	5.43	1.06
51	5.45	1.01
52	5.46	1.06
53	5.46	1.07
54	5.48	1.08
55	5.48	0.86
56	5.50	1.08
57	5.50	1.15
58	5.50	1.09
59	5.51	1.10
60	5.51	0.84
61	5.51	1.05
62	5.52	1.14
63	5.52	0.88
64	5.54	0.92
65	5.55	1.03
66	5.55	1.02
67	5.55	1.15
68	5.56	1.05
69	5.57	1.04
70	5.57	0.96
71	5.59	1.04
72	5.63	0.67
73	5.64	1.14
74	5.64	1.11
75	5.65	0.94
76	5.65	1.16
77	5.65	1.13
78	5.66	0.94
79	5.66	1.14
80	5.67	1.14
81	5.68	1.08
82	5.68	0.94
83	5.69	0.89
84	5.70	1.12
85	5.71	0.90
86	5.71	1.18
87	5.73	1.13
88	5.74	0.94
89	5.74	1.15
90	5.75	0.92
91	5.76	1.12
92	5.76	1.15
93	5.77	1.17
94	5.78	0.95
95	5.79	0.98
96	5.79	1.06
97	5.79	1.09
98	5.79	1.16
99	5.80	0.91
100	5.80	1.11
101	5.80	0.79
102	5.80	1.17
103	5.80	1.15
104	5.81	0.71
105	5.81	1.11
106	5.81	0.88
107	5.81	1.17
108	5.81	0.96
109	5.82	1.21
110	5.83	1.04
111	5.84	0.90
112	5.84	1.18
113	5.85	1.13
114	5.85	1.15
115	5.85	1.19
116	5.85	1.18
117	5.86	1.15
118	5.86	1.17
119	5.87	1.27
120	5.87	1.11
121	5.88	1.30
122	5.88	0.97
123	5.89	1.13
124	5.89	1.11
125	5.89	1.15
126	5.89	1.20
127	5.89	1.15
128	5.91	1.11
129	5.91	0.98
130	5.91	0.97
131	5.91	0.70
132	5.91	0.89
133	5.91	1.17
134	5.92	1.15
135	5.93	1.18
136	5.93	0.92
137	5.93	0.97
138	5.93	0.95
139	5.95	1.31
140	5.95	1.20
141	5.96	1.19
142	5.97	0.81
143	5.99	1.20
144	6.00	0.98
145	6.01	0.77
146	6.04	1.22
147	6.05	1.10
148	6.06	0.71
149	6.09	0.97
150	6.10	1.26
151	6.11	1.12
152	6.12	1.12
