Policy	A	B
0	1.96	0.27
1	2.03	0.33
2	2.14	0.25
3	2.18	0.25
4	2.21	0.26
5	2.22	0.50
6	2.27	0.24
7	2.30	0.32
8	2.33	0.29
9	2.39	0.41
10	2.46	0.50
11	2.47	0.33
12	2.62	0.40
13	2.63	0.40
14	2.65	0.43
15	2.71	0.45
16	2.74	0.43
17	2.78	0.50
18	2.79	0.48
19	2.90	0.55
20	2.91	0.60
21	2.93	0.60
22	2.93	0.40
23	2.96	0.42
24	3.00	0.63
25	3.00	0.51
26	3.08	0.47
27	3.13	0.29
28	3.13	0.29
29	3.13	0.26
30	3.13	0.29
31	3.14	0.66
32	3.14	0.29
33	3.14	0.24
34	3.15	0.72
35	3.15	0.29
36	3.15	0.49
37	3.17	0.51
38	3.17	0.26
39	3.18	0.63
40	3.23	0.54
41	3.24	0.24
42	3.24	0.29
43	3.25	0.28
44	3.25	0.24
45	3.25	0.23
46	3.25	0.25
47	3.26	0.24
48	3.26	0.24
49	3.26	0.45
50	3.27	0.26
51	3.27	0.27
52	3.27	0.23
53	3.28	0.22
54	3.28	0.34
55	3.30	0.21
56	3.30	0.27
57	3.31	0.26
58	3.31	0.23
59	3.31	0.26
60	3.32	0.29
61	3.33	0.31
62	3.33	0.27
63	3.33	0.37
64	3.33	0.28
65	3.36	0.32
66	3.37	0.28
67	3.37	0.32
68	3.38	0.27
69	3.38	0.35
70	3.39	0.64
71	3.39	0.28
72	3.40	0.25
73	3.40	0.31
74	3.42	0.24
75	3.42	0.33
76	3.42	0.32
77	3.43	0.31
78	3.44	0.30
79	3.44	0.30
80	3.44	0.34
81	3.47	0.32
82	3.47	0.26
83	3.47	0.30
84	3.48	0.32
85	3.49	0.32
86	3.50	0.32
87	3.50	0.30
88	3.51	0.33
89	3.52	0.26
90	3.52	0.30
91	3.52	0.34
92	3.53	0.32
93	3.53	0.32
94	3.54	0.34
95	3.55	0.36
96	3.55	0.38
97	3.55	0.34
98	3.55	0.35
99	3.56	0.37
100	3.57	0.50
101	3.59	0.34
102	3.59	0.36
103	3.59	0.35
104	3.60	0.35
105	3.60	0.38
106	3.61	0.57
107	3.61	0.34
108	3.61	0.24
109	3.62	0.36
110	3.62	0.38
111	3.63	0.36
112	3.63	0.40
113	3.64	0.32
114	3.64	0.29
115	3.64	0.36
116	3.65	0.31
117	3.65	0.34
118	3.66	0.35
119	3.66	0.32
120	3.66	0.36
121	3.66	0.27
122	3.66	0.42
123	3.67	0.30
124	3.67	0.38
125	3.68	0.30
126	3.68	0.50
127	3.68	0.44
128	3.68	0.36
129	3.68	0.35
130	3.68	0.39
131	3.68	0.39
132	3.68	0.37
133	3.68	0.35
134	3.70	0.31
135	3.70	0.37
136	3.71	0.36
137	3.71	0.36
138	3.71	0.37
139	3.71	0.37
140	3.72	0.39
141	3.73	0.47
142	3.73	0.27
143	3.74	0.35
144	3.74	0.36
145	3.75	0.38
146	3.78	0.46
147	3.78	0.39
148	3.80	0.48
149	3.81	0.37
150	3.81	0.40
151	3.82	0.32
152	3.84	0.34
153	3.87	0.38
154	3.87	0.46
155	3.88	0.41
156	3.89	0.28
157	3.91	0.42
158	3.91	0.98
159	3.91	0.42
160	3.91	0.33
161	3.92	0.30
162	3.92	0.44
163	3.92	0.45
164	3.93	0.40
165	3.95	0.39
166	3.95	0.39
167	3.96	0.42
168	3.97	0.28
169	3.98	0.54
170	3.98	0.44
171	4.00	0.35
172	4.01	0.68
173	4.01	0.72
174	4.01	0.45
175	4.03	0.40
176	4.07	0.31
177	4.07	0.39
178	4.07	0.42
179	4.08	0.32
180	4.08	0.34
181	4.09	0.47
182	4.10	0.34
183	4.10	0.40
184	4.11	0.47
185	4.12	0.30
186	4.12	0.43
187	4.16	0.42
188	4.18	0.57
189	4.21	0.71
190	4.22	0.52
191	4.24	0.41
192	4.27	0.28
193	4.27	0.37
194	4.29	0.47
195	4.31	0.50
196	4.33	0.38
197	4.35	0.40
198	4.35	0.55
199	4.36	0.66
200	4.40	0.37
201	4.46	0.60
202	4.47	0.45
203	4.49	0.59
204	4.51	0.45
205	4.51	0.46
206	4.54	0.66
207	4.55	0.49
208	4.55	0.52
209	4.56	0.78
210	4.56	0.35
211	4.58	0.34
212	4.64	0.44
213	4.67	0.55
214	4.70	0.59
215	4.70	0.55
216	4.89	0.39
217	4.91	0.90
218	4.91	0.64
219	4.97	0.48
220	5.02	0.67
221	5.02	0.47
222	5.08	0.67
223	5.14	0.42
224	5.18	0.43
225	5.27	0.54
226	5.28	0.42
227	5.44	0.36
228	5.47	0.74
229	5.58	0.67
230	5.61	0.61
231	5.74	0.44
232	5.78	0.51
233	5.81	0.83
234	6.02	0.39
235	6.06	0.33
236	6.06	0.66
237	6.11	0.53
238	6.20	0.49
239	6.30	0.61
240	6.40	0.56
241	6.62	0.64
242	6.65	0.70
243	6.65	0.24
244	6.67	1.52
245	6.69	0.28
246	6.81	2.63
247	6.81	0.29
248	6.85	0.33
249	6.89	0.52
250	6.93	0.49
251	6.94	0.29
252	6.96	0.32
253	7.00	0.33
254	7.04	0.34
255	7.07	0.35
256	7.08	1.48
257	7.09	0.39
258	7.10	0.38
259	7.14	0.45
260	7.15	0.35
261	7.21	0.44
262	7.22	0.47
263	7.22	0.39
264	7.24	0.49
265	7.27	0.42
266	7.29	0.92
267	7.29	0.49
268	7.30	0.64
269	7.31	0.33
270	7.38	0.45
271	7.38	0.68
272	7.39	0.50
273	7.39	0.49
274	7.39	0.53
275	7.39	0.38
276	7.42	0.37
277	7.49	0.51
278	7.49	0.41
279	7.51	0.26
280	7.53	0.38
281	7.53	0.42
282	7.54	0.43
283	7.54	0.32
284	7.55	0.52
285	7.57	0.41
286	7.58	0.45
287	7.58	0.35
288	7.58	0.51
289	7.59	0.48
290	7.59	0.47
291	7.61	0.57
292	7.62	0.39
293	7.63	0.58
294	7.63	0.61
295	7.64	0.43
296	7.64	0.90
297	7.66	1.00
298	7.67	0.41
299	7.70	0.64
300	7.71	0.45
301	7.71	0.50
302	7.73	0.51
303	7.78	0.66
304	7.83	0.49
305	7.84	0.59
306	7.84	0.41
307	7.85	0.71
308	7.85	0.70
309	7.86	0.48
310	7.87	0.76
311	7.88	0.47
312	7.91	0.58
313	7.93	0.61
314	7.93	0.80
315	7.98	0.69
316	8.00	0.48
317	8.04	0.56
318	8.12	0.64
319	8.14	0.66
320	8.19	0.56
321	8.24	0.78
322	8.27	0.54
323	8.28	2.42
324	8.31	0.61
325	8.33	0.61
326	8.33	0.30
327	8.43	0.84
328	8.44	0.47
329	8.46	0.60
330	8.48	1.62
331	8.48	1.10
332	8.53	2.46
333	8.57	0.25
334	8.61	0.61
335	8.61	0.51
336	8.69	1.71
337	8.77	0.58
338	8.77	0.60
339	8.81	0.29
340	8.83	1.39
341	8.84	1.10
342	8.93	1.71
343	8.94	0.63
344	8.96	0.43
345	8.98	0.81
346	9.07	0.71
347	9.13	1.88
348	9.17	1.84
349	9.29	1.87
350	9.33	0.79
351	9.43	1.90
352	9.45	1.93
353	9.48	1.68
354	9.54	0.88
355	9.67	0.78
356	9.71	0.60
357	9.75	0.84
358	9.84	1.82
359	10.00	0.33
360	10.06	0.62
361	10.16	0.40
362	10.38	0.47
363	10.44	0.55
364	10.76	0.33
365	10.97	1.32
366	11.03	1.86
367	11.05	1.10
368	11.23	0.48
369	11.27	1.24
370	11.31	1.89
371	11.32	0.83
372	11.35	2.50
373	11.52	1.01
374	11.54	0.39
375	11.58	2.41
376	11.63	1.33
377	11.71	0.39
378	11.72	0.48
379	11.74	0.41
380	11.75	0.44
381	11.79	0.79
382	11.79	0.45
383	11.80	1.81
384	11.86	0.36
385	11.93	0.43
386	11.96	0.44
387	12.04	0.69
388	12.13	0.54
389	12.69	0.81
390	12.80	0.42
391	12.95	1.81
392	13.01	0.38
393	13.11	0.34
394	13.42	0.77
395	14.29	2.37
396	14.94	0.42
397	15.10	0.36
398	15.85	0.89
399	16.14	0.41
400	16.18	0.59
401	16.36	0.39
402	19.23	1.34
403	20.79	0.35
404	20.87	0.54
405	22.06	0.35
406	22.14	0.52
407	22.41	0.41
408	23.16	0.32
409	27.62	0.47
410	27.97	2.30
411	28.06	0.84
412	30.17	0.43
413	30.29	0.47
414	30.85	0.36
415	31.03	0.41
416	31.05	0.41
417	31.51	0.38
418	31.91	0.49
419	32.10	0.45
420	32.47	0.36
421	32.94	0.50
422	32.97	0.68
423	33.04	0.45
424	33.15	0.42
425	33.56	0.52
426	34.39	0.46
427	35.01	0.79
428	37.09	0.67
429	37.16	0.46
430	39.04	0.48
431	41.60	0.78
432	41.69	0.57
433	44.14	0.45
434	44.75	0.45
435	48.35	0.89
436	50.23	0.47
437	51.35	0.58
438	52.01	0.44
439	53.05	0.46
440	53.18	0.43
441	53.20	0.42
442	53.22	0.73
443	53.51	0.75
444	54.21	0.43
445	54.66	8.48
446	54.89	0.43
447	54.97	0.44
448	54.97	0.45
449	55.15	0.63
450	55.45	0.45
451	55.46	0.53
452	55.64	0.45
453	55.74	0.45
454	55.94	0.47
455	56.19	0.59
456	56.26	0.67
457	56.37	0.37
458	56.39	0.51
459	56.68	0.46
460	56.74	0.55
461	56.80	0.47
462	56.86	0.40
463	56.88	0.47
464	57.05	0.49
465	57.08	0.43
466	57.19	0.95
467	57.55	0.52
468	57.58	0.42
469	57.78	1.50
470	57.96	0.40
471	58.07	0.46
472	58.79	0.61
473	58.92	0.66
474	59.13	6.63
475	60.16	0.64
476	62.66	1.45
477	66.89	0.37
478	68.30	0.42
479	69.67	0.50
480	70.36	0.78
481	70.45	0.40
482	71.02	0.37
483	71.25	0.40
484	71.82	1.20
485	72.06	0.41
486	72.41	0.52
487	73.34	0.42
488	73.39	0.63
489	74.97	0.65
490	75.45	0.99
491	75.88	0.92
492	76.37	0.65
493	76.94	0.47
494	80.21	0.52
495	85.64	0.57
496	85.72	0.44
497	86.33	0.42
498	89.63	0.42
499	91.11	1.28
500	104.97	0.58
501	123.76	0.75
502	156.55	0.46
503	176.23	0.53
504	177.40	0.44
505	8224.10	0.28
