Policy	BR	AI
0	3.39	1.04
1	3.43	1.18
2	3.70	0.96
3	3.76	0.97
4	3.77	0.95
5	3.80	1.16
6	3.85	1.58
7	4.04	1.12
8	4.07	0.93
9	4.17	1.37
10	4.22	1.24
11	4.25	1.07
12	4.29	1.32
13	4.30	1.42
14	4.34	1.59
15	4.37	1.58
16	4.37	1.59
17	4.37	1.54
18	4.38	1.44
19	4.39	2.06
20	4.44	1.35
21	4.61	1.53
22	4.66	1.55
23	4.76	1.78
24	4.77	1.64
25	4.80	1.54
26	4.83	2.22
27	4.87	1.37
28	4.89	1.72
29	4.90	1.56
30	4.96	1.85
31	4.97	1.68
32	5.00	1.80
33	5.24	1.14
34	5.26	1.04
35	5.28	1.13
36	5.28	1.13
37	5.30	1.01
38	5.30	1.10
39	5.30	0.79
40	5.32	0.86
41	5.33	0.54
42	5.33	1.12
43	5.36	0.98
44	5.38	1.05
45	5.39	1.10
46	5.40	1.01
47	5.42	1.04
48	5.42	0.88
49	5.42	0.98
50	5.43	0.81
51	5.45	0.88
52	5.46	0.93
53	5.46	1.08
54	5.48	0.95
55	5.48	1.03
56	5.50	0.95
57	5.50	1.26
58	5.50	1.10
59	5.51	1.00
60	5.51	0.92
61	5.51	0.88
62	5.52	0.92
63	5.52	0.94
64	5.54	1.17
65	5.55	0.90
66	5.55	0.87
67	5.55	1.19
68	5.56	0.88
69	5.57	0.85
70	5.57	1.14
71	5.59	0.97
72	5.63	1.28
73	5.64	1.09
74	5.64	1.21
75	5.65	1.03
76	5.65	1.22
77	5.65	1.24
78	5.66	1.00
79	5.66	1.20
80	5.67	1.33
81	5.68	0.98
82	5.68	1.08
83	5.69	1.13
84	5.70	1.37
85	5.71	0.85
86	5.71	0.96
87	5.73	1.18
88	5.74	0.91
89	5.74	1.45
90	5.75	1.28
91	5.76	1.20
92	5.76	1.25
93	5.77	1.23
94	5.78	0.91
95	5.79	1.02
96	5.79	0.96
97	5.79	0.79
98	5.79	1.26
99	5.80	0.92
100	5.80	1.22
101	5.80	1.65
102	5.80	1.34
103	5.80	1.19
104	5.81	1.10
105	5.81	1.36
106	5.81	0.90
107	5.81	1.30
108	5.81	1.33
109	5.82	1.53
110	5.83	1.04
111	5.84	1.17
112	5.84	1.25
113	5.85	1.25
114	5.85	1.15
115	5.85	1.31
116	5.85	1.22
117	5.86	1.21
118	5.86	1.43
119	5.87	1.14
120	5.87	1.21
121	5.88	1.06
122	5.88	1.30
123	5.89	1.23
124	5.89	1.08
125	5.89	1.37
126	5.89	1.29
127	5.89	1.26
128	5.91	1.15
129	5.91	1.21
130	5.91	1.28
131	5.91	1.02
132	5.91	1.22
133	5.91	1.03
134	5.92	1.31
135	5.93	1.20
136	5.93	1.64
137	5.93	1.41
138	5.93	1.29
139	5.95	1.30
140	5.95	1.37
141	5.96	1.07
142	5.97	1.29
143	5.99	1.42
144	6.00	1.46
145	6.01	0.88
146	6.04	0.81
147	6.05	0.92
148	6.06	1.04
149	6.09	1.41
150	6.10	0.91
151	6.11	1.25
152	6.12	1.25
153	6.12	1.42
154	6.14	1.55
155	6.15	1.25
156	6.15	1.57
157	6.15	1.51
158	6.17	1.23
159	6.18	1.27
160	6.23	1.34
161	6.23	1.69
162	6.23	1.38
163	6.23	1.33
164	6.24	1.31
165	6.24	1.55
166	6.25	1.11
167	6.26	1.46
168	6.26	1.72
169	6.26	1.50
170	6.27	1.22
171	6.27	1.68
172	6.30	1.45
173	6.31	1.27
174	6.31	1.46
175	6.31	1.36
176	6.31	1.60
177	6.32	1.08
178	6.34	1.56
179	6.34	1.30
180	6.35	1.17
181	6.35	1.26
182	6.37	1.61
183	6.37	1.18
184	6.39	1.31
185	6.42	1.16
186	6.42	1.45
187	6.42	1.46
188	6.48	1.29
189	6.50	1.80
190	6.50	1.80
191	6.52	1.25
192	6.54	1.33
193	6.54	1.15
194	6.55	1.92
195	6.56	1.47
196	6.62	1.59
197	6.65	1.17
198	6.65	1.29
199	6.65	1.77
200	6.68	1.32
201	6.68	1.44
202	6.68	1.47
203	6.76	1.05
204	6.78	1.16
205	6.80	2.24
206	6.83	1.78
207	6.85	1.98
208	6.90	1.97
209	6.93	1.48
210	6.95	0.90
211	6.95	1.90
212	6.98	0.99
213	7.03	1.20
214	7.08	1.34
215	7.12	0.73
216	7.13	1.68
217	7.17	2.04
218	7.22	0.88
219	7.22	1.60
220	7.25	1.11
221	7.33	2.32
222	7.34	1.40
223	7.36	1.34
224	7.43	2.29
225	7.55	1.85
226	7.55	1.81
227	7.89	1.14
228	7.91	2.44
229	7.91	2.51
230	8.04	1.24
231	8.17	1.76
232	8.17	2.96
233	8.43	1.21
234	8.65	2.06
235	8.65	1.44
236	8.75	1.73
237	8.99	1.54
238	9.00	1.16
239	9.04	2.13
240	9.07	1.64
241	9.08	2.93
242	9.28	0.87
243	9.30	0.81
244	9.41	4.89
245	9.44	2.39
246	9.52	1.05
247	9.65	0.69
248	9.68	0.95
249	9.79	1.86
250	9.80	0.93
251	9.96	1.68
252	9.98	1.51
253	9.99	1.15
254	10.05	1.02
255	10.07	0.90
256	10.09	3.24
257	10.09	1.09
258	10.13	1.24
259	10.13	1.21
260	10.16	1.23
261	10.18	1.52
262	10.18	1.28
263	10.18	1.19
264	10.21	2.82
265	10.22	3.04
266	10.24	1.29
267	10.24	1.17
268	10.26	2.26
269	10.30	1.42
270	10.33	1.13
271	10.33	2.30
272	10.34	1.39
273	10.39	1.05
274	10.40	1.28
275	10.44	1.47
276	10.45	1.40
277	10.46	1.38
278	10.47	1.18
279	10.55	1.26
280	10.56	1.19
281	10.56	1.23
282	10.56	1.31
283	10.60	1.46
284	10.60	1.24
285	10.61	1.03
286	10.62	1.59
287	10.63	1.21
288	10.63	1.53
289	10.64	1.41
290	10.64	1.42
291	10.64	1.57
292	10.65	1.59
293	10.65	1.47
294	10.65	1.28
295	10.66	1.24
296	10.67	1.60
297	10.68	1.47
298	10.68	1.34
299	10.69	1.20
300	10.70	1.20
301	10.73	1.71
302	10.80	1.70
303	10.80	1.35
304	10.81	1.77
305	10.91	1.59
306	10.94	1.78
307	10.94	1.76
308	10.99	1.52
309	11.02	1.39
310	11.04	1.57
311	11.08	1.82
312	11.11	1.54
313	11.11	1.66
314	11.13	1.51
315	11.14	1.45
316	11.15	1.56
317	11.15	1.55
318	11.16	3.16
319	11.35	1.51
320	11.35	7.02
321	11.40	1.69
322	11.41	1.73
323	11.44	1.35
324	11.44	1.15
325	11.54	1.98
326	11.55	1.97
327	11.62	3.03
328	11.65	1.34
329	11.68	1.82
330	11.69	1.28
331	11.83	1.83
332	11.85	0.93
333	12.02	3.00
334	12.05	2.16
335	12.08	2.28
336	12.19	2.66
337	12.22	1.61
338	12.25	1.12
339	12.25	0.49
340	12.27	1.38
341	12.33	3.76
342	12.34	1.17
343	12.49	1.45
344	12.49	3.17
345	12.52	1.49
346	12.53	3.45
347	12.72	2.31
348	12.73	1.05
349	12.75	1.14
350	12.76	3.14
351	12.83	2.45
352	12.89	3.18
353	12.97	2.55
354	13.08	0.83
355	13.18	2.46
356	13.20	3.64
357	13.20	2.41
358	13.35	3.58
359	13.47	0.88
360	13.50	3.21
361	13.68	3.39
362	13.76	4.69
363	13.83	4.12
364	14.41	1.18
365	14.47	3.29
366	14.67	2.84
367	14.67	3.62
368	14.68	1.63
369	14.82	1.04
370	14.87	1.00
371	14.94	0.83
372	14.98	0.94
373	14.99	1.00
374	15.03	0.96
375	15.08	1.19
376	15.09	0.80
377	15.22	0.94
378	15.24	2.03
379	15.34	1.13
380	15.41	3.41
381	15.41	0.99
382	15.50	2.44
383	16.03	1.02
384	16.25	5.95
385	16.63	0.78
386	16.90	1.11
387	17.09	1.88
388	17.21	1.16
389	17.93	2.85
390	18.19	1.12
391	18.21	3.78
392	18.63	0.95
393	18.71	1.07
394	19.27	1.03
395	19.89	1.99
396	20.95	0.99
397	20.98	3.24
398	21.03	1.75
399	21.45	1.40
400	22.11	1.41
401	24.15	1.26
402	27.01	1.46
403	27.31	1.50
404	29.20	0.60
405	29.38	0.56
406	29.62	0.82
407	31.31	1.17
408	31.92	1.32
409	32.49	0.84
410	34.17	0.74
411	34.34	2.95
412	35.19	0.88
413	35.64	0.66
414	35.99	0.75
415	36.01	0.77
416	36.03	0.68
417	36.26	0.77
418	36.79	0.55
419	37.14	0.74
420	37.88	0.65
421	38.01	0.65
422	38.36	1.07
423	38.49	0.72
424	40.18	0.96
425	40.64	1.25
426	41.00	0.69
427	41.21	0.66
428	41.63	0.84
429	43.50	0.81
430	45.02	0.85
431	50.42	0.83
432	50.98	1.12
433	55.86	2.83
434	57.99	1.01
435	59.00	0.75
436	59.66	0.80
437	59.76	0.64
438	59.85	0.64
439	60.66	1.13
440	60.82	11.30
441	61.77	0.72
442	62.11	0.87
443	62.32	0.85
444	62.43	1.07
445	62.54	0.67
446	62.89	0.70
447	62.98	0.75
448	63.26	0.71
449	63.26	0.79
450	63.40	1.00
451	63.63	0.70
452	63.69	0.84
453	63.75	0.61
454	63.98	0.72
455	64.07	0.90
456	64.17	0.59
457	64.17	0.78
458	64.20	0.74
459	64.21	0.84
460	64.74	1.53
461	64.85	0.74
462	64.98	0.75
463	65.07	1.10
464	65.13	0.65
465	65.33	1.00
466	65.80	7.65
467	66.48	0.96
468	66.68	0.73
469	67.10	0.81
470	67.68	0.92
471	67.78	0.83
472	68.03	0.93
473	68.10	0.77
474	70.28	0.72
475	70.57	0.96
476	75.67	0.73
477	77.52	0.85
478	78.30	0.88
479	79.32	1.16
480	79.45	4.19
481	79.51	0.99
482	79.55	0.74
483	79.57	0.75
484	80.97	0.80
485	81.65	0.76
486	82.83	0.97
487	83.66	0.90
488	84.65	1.00
489	85.36	1.42
490	85.39	0.88
491	86.83	0.87
492	87.50	1.43
493	89.75	0.88
494	96.47	0.79
495	96.52	0.83
496	100.36	0.84
497	100.36	1.66
498	113.99	1.73
499	121.63	1.25
500	123.90	0.88
501	139.68	1.15
502	177.36	0.92
503	201.20	0.95
504	202.78	1.00
505	9746.07	18.83
