Policy	A	B
0	1.96	1.04
1	2.03	1.18
2	2.14	0.96
3	2.18	0.97
4	2.21	0.95
5	2.22	1.58
6	2.27	0.93
7	2.30	1.16
8	2.33	1.12
9	2.39	1.07
10	2.46	1.37
11	2.47	1.24
12	2.62	1.44
13	2.63	1.42
14	2.65	1.59
15	2.71	1.54
16	2.74	1.58
17	2.78	1.53
18	2.79	1.37
19	2.90	1.17
20	2.91	2.06
21	2.93	1.54
22	2.93	1.32
23	2.96	1.55
24	3.00	1.64
25	3.00	1.78
26	3.08	1.65
27	3.13	1.08
28	3.13	1.10
29	3.13	0.96
30	3.13	1.13
31	3.14	1.68
32	3.14	1.10
33	3.14	1.04
34	3.15	1.85
35	3.15	1.08
36	3.15	1.80
37	3.17	1.35
38	3.17	0.79
39	3.18	2.22
40	3.23	1.56
41	3.24	0.88
42	3.24	1.04
43	3.25	1.03
44	3.25	0.88
45	3.25	0.85
46	3.25	1.01
47	3.26	0.90
48	3.26	0.97
49	3.26	1.59
50	3.27	0.92
51	3.27	0.81
52	3.27	0.87
53	3.28	0.88
54	3.28	1.24
55	3.30	0.86
56	3.30	0.88
57	3.31	0.95
58	3.31	0.54
59	3.31	0.98
60	3.32	1.14
61	3.33	0.92
62	3.33	1.01
63	3.33	1.28
64	3.33	0.88
65	3.36	1.17
66	3.37	1.05
67	3.37	0.94
68	3.38	0.88
69	3.38	1.14
70	3.39	1.72
71	3.39	1.10
72	3.40	1.04
73	3.40	1.16
74	3.42	0.93
75	3.42	1.19
76	3.42	1.33
77	3.43	1.21
78	3.44	1.13
79	3.44	0.98
80	3.44	1.08
81	3.47	1.03
82	3.47	1.00
83	3.47	1.11
84	3.48	1.18
85	3.49	1.26
86	3.50	1.18
87	3.50	0.90
88	3.51	1.00
89	3.52	0.98
90	3.52	1.12
91	3.52	1.28
92	3.53	1.20
93	3.53	1.24
94	3.54	1.19
95	3.55	0.96
96	3.55	1.28
97	3.55	1.20
98	3.55	1.22
99	3.56	1.45
100	3.57	1.25
101	3.59	1.22
102	3.59	1.33
103	3.59	1.34
104	3.60	1.25
105	3.60	1.30
