Policy	A	B
0	0.00	0.00
1	0.00	0.00
2	0.00	0.00
3	0.00	0.00
4	1.23	0.03
5	1.23	0.03
6	1.24	0.03
7	1.24	0.03
8	1.25	0.03
9	1.25	0.03
10	1.26	0.06
11	1.26	0.03
12	1.26	0.03
13	1.26	0.03
14	1.27	0.04
15	1.28	0.03
16	1.28	0.03
17	1.29	0.04
18	1.29	0.03
19	1.29	0.05
20	1.29	0.03
21	1.29	0.03
22	1.29	0.04
23	1.29	0.03
24	1.29	0.03
25	1.29	0.03
26	1.30	0.04
27	1.30	0.03
28	1.30	0.03
29	1.30	0.04
30	1.30	0.03
31	1.30	0.06
32	1.30	0.03
33	1.30	0.03
34	1.30	0.02
35	1.31	0.03
36	1.31	0.03
37	1.31	0.06
38	1.31	0.02
39	1.31	0.03
40	1.31	0.05
41	1.31	0.03
42	1.32	0.06
43	1.32	0.03
44	1.32	0.03
45	1.32	0.06
46	1.32	0.00
47	1.32	0.04
48	1.32	0.03
49	1.33	0.06
50	1.33	0.06
51	1.33	0.07
52	1.33	0.06
53	1.33	0.06
54	1.33	0.06
55	1.33	0.06
56	1.34	0.06
57	1.34	0.05
58	1.34	0.06
59	1.34	0.06
60	1.34	0.03
61	1.34	0.06
62	1.34	0.05
63	1.35	0.03
64	1.35	0.07
65	1.35	0.05
66	1.35	0.06
67	1.35	0.06
68	1.35	0.06
69	1.35	0.06
70	1.35	0.06
71	1.35	0.08
72	1.35	0.06
73	1.35	0.08
74	1.35	0.06
75	1.35	0.05
76	1.35	0.05
77	1.35	0.06
78	1.35	0.06
79	1.35	0.06
80	1.35	0.06
81	1.35	0.06
82	1.35	0.06
83	1.35	0.06
84	1.35	0.06
85	1.35	0.06
86	1.36	0.06
87	1.36	0.06
88	1.36	0.05
89	1.36	0.06
90	1.36	0.03
91	1.36	0.06
92	1.36	0.07
93	1.36	0.06
94	1.36	0.06
95	1.36	0.06
96	1.36	0.06
97	1.36	0.06
98	1.36	0.06
99	1.36	0.06
100	1.36	0.06
101	1.36	0.06
102	1.36	0.05
103	1.36	0.05
104	1.36	0.05
105	1.36	0.05
106	1.36	0.04
107	1.36	0.06
108	1.36	0.02
109	1.36	0.06
110	1.37	0.08
111	1.37	0.06
112	1.37	0.06
113	1.37	0.06
114	1.37	0.07
115	1.37	0.07
116	1.37	0.06
117	1.37	0.06
118	1.37	0.06
119	1.37	0.06
120	1.37	0.06
121	1.37	0.06
122	1.37	0.06
123	1.37	0.09
124	1.37	0.08
125	1.37	0.07
126	1.37	0.06
127	1.37	0.07
128	1.37	0.06
129	1.37	0.06
130	1.37	0.06
131	1.37	0.06
132	1.37	0.06
133	1.37	0.05
134	1.37	0.06
135	1.37	0.06
136	1.38	0.07
137	1.38	0.07
138	1.38	0.06
139	1.38	0.07
140	1.38	0.06
141	1.38	0.08
142	1.38	0.07
143	1.38	0.06
144	1.38	0.06
145	1.38	0.06
146	1.38	0.06
147	1.38	0.06
148	1.38	0.06
149	1.38	0.07
150	1.38	0.06
151	1.38	0.06
152	1.38	0.06
153	1.38	0.06
154	1.38	0.06
155	1.38	0.06
156	1.38	0.03
157	1.38	0.06
158	1.38	0.05
159	1.38	0.06
160	1.39	0.08
161	1.39	0.07
162	1.39	0.06
163	1.39	0.06
164	1.39	0.06
165	1.39	0.06
166	1.39	0.06
167	1.39	0.07
168	1.39	0.06
169	1.39	0.07
170	1.39	0.06
171	1.39	0.05
172	1.40	0.07
173	1.40	0.06
174	1.40	0.06
175	1.40	0.06
176	1.40	0.06
177	1.40	0.07
178	1.40	0.06
179	1.40	0.03
180	1.40	0.07
181	1.40	0.06
182	1.40	0.06
183	1.40	0.05
184	1.40	0.06
185	1.41	0.07
186	1.41	0.07
187	1.41	0.06
188	1.41	0.06
189	1.41	0.06
190	1.41	0.06
191	1.41	0.06
192	1.42	0.07
193	1.42	0.08
194	1.42	0.06
195	1.42	0.08
196	1.42	0.09
197	1.42	0.06
198	1.42	0.06
199	1.42	0.09
200	1.42	0.06
201	1.43	0.08
202	1.43	0.08
203	1.43	0.06
204	1.43	0.09
205	1.43	0.09
206	1.43	0.09
207	1.43	0.08
208	1.43	0.06
209	1.43	0.09
210	1.43	0.06
211	1.43	0.06
212	1.43	0.06
213	1.43	0.06
214	1.43	0.06
215	1.43	0.07
216	1.43	0.06
217	1.43	0.06
218	1.43	0.06
219	1.44	0.09
220	1.44	0.09
221	1.44	0.09
222	1.44	0.08
223	1.44	0.09
224	1.44	0.08
225	1.44	0.09
226	1.44	0.08
227	1.44	0.08
228	1.44	0.09
229	1.44	0.06
230	1.44	0.06
231	1.44	0.09
232	1.44	0.13
233	1.44	0.07
234	1.44	0.06
235	1.44	0.06
236	1.44	0.06
237	1.44	0.06
238	1.44	0.06
239	1.44	0.06
240	1.44	0.06
241	1.44	0.06
242	1.44	0.08
243	1.44	0.08
244	1.44	0.06
245	1.44	0.06
246	1.44	0.06
247	1.44	0.06
248	1.45	0.09
249	1.45	0.09
250	1.45	0.09
251	1.45	0.09
252	1.45	0.08
253	1.45	0.06
254	1.45	0.06
255	1.45	0.06
256	1.45	0.06
257	1.45	0.10
258	1.45	0.07
259	1.45	0.09
260	1.45	0.06
261	1.45	0.06
262	1.45	0.06
263	1.45	0.09
264	1.45	0.06
265	1.45	0.10
266	1.45	0.07
267	1.45	0.07
268	1.45	0.05
269	1.45	0.06
270	1.46	0.07
271	1.46	0.09
272	1.46	0.06
273	1.46	0.07
274	1.46	0.10
275	1.46	0.10
276	1.46	0.10
277	1.46	0.09
278	1.46	0.06
279	1.46	0.07
280	1.46	0.09
281	1.46	0.10
282	1.46	0.12
283	1.46	0.06
284	1.46	0.08
285	1.46	0.08
286	1.46	0.06
287	1.46	0.06
288	1.46	0.08
289	1.47	0.06
290	1.47	0.11
