Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             19.61             0.00             19.61              241.08   
0.44            0.11             0.00              0.00             0.55               241.63   
0.06            0.10             0.00              0.00             0.16               241.79   
0.04            0.05             0.00              0.00             0.09               241.88   
0.03            0.06             0.00              0.00             0.09               241.97   
0.03            0.05             0.00              0.00             0.08               242.05   
0.03            0.15             0.00              0.00             0.18               242.23   
0.04            0.07             0.00              0.00             0.11               242.34   
0.04            0.15             0.00              0.00             0.19               242.53   
0.04            0.05             0.00              0.00             0.09               242.62   
0.03            0.06             0.00              0.00             0.09               242.71   
0.03            0.06             0.00              0.00             0.09               242.80   
0.03            0.04             0.00              0.00             0.07               242.87   
0.03            0.03             0.00              0.00             0.06               242.93   
0.03            0.05             0.00              0.00             0.08               243.01   
0.03            0.03             0.00              0.00             0.06               243.07   
0.03            0.03             0.00              0.00             0.06               243.13   
0.03            0.06             0.00              0.00             0.09               243.22   
0.03            0.06             0.00              0.00             0.09               243.31   
0.03            0.05             0.00              0.00             0.08               243.39   
0.03            0.04             0.00              0.00             0.07               243.46   
0.03            0.03             0.00              0.00             0.06               243.52   
0.03            0.03             0.00              0.00             0.06               243.58   
0.03            0.03             0.00              0.00             0.06               243.64   
0.03            0.03             0.00              0.00             0.06               243.70   
0.03            0.08             0.00              0.00             0.11               243.81   
0.04            0.03             0.00              0.00             0.07               243.88   
0.03            0.02             0.00              0.00             0.05               243.93   
0.04            0.02             0.00              0.00             0.06               243.99   
0.03            0.02             0.00              0.00             0.05               244.04   
0.03            0.02             0.00              0.00             0.05               244.09   
0.03            0.03             0.00              0.00             0.06               244.15   
0.03            0.02             0.00              0.00             0.05               244.20   
0.04            0.02             0.00              0.00             0.06               244.26   
0.03            0.02             0.00              0.00             0.05               244.31   
0.04            0.00             0.00              0.00             0.04               244.35   
0.00            0.00             0.00              0.54             0.54               244.89   
