Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             6.40              0.00             6.40               84.46    
0.31            0.07             0.00              0.00             0.38               84.84    
0.06            0.06             0.00              0.00             0.12               84.96    
0.03            0.05             0.00              0.00             0.08               85.04    
0.04            0.04             0.00              0.00             0.08               85.12    
0.03            0.05             0.00              0.00             0.08               85.20    
0.03            0.04             0.00              0.00             0.07               85.27    
0.03            0.04             0.00              0.00             0.07               85.34    
0.02            0.03             0.00              0.00             0.05               85.39    
0.81            0.04             0.00              0.00             0.85               86.24    
0.03            0.03             0.00              0.00             0.06               86.30    
0.03            0.02             0.00              0.00             0.05               86.35    
0.03            0.03             0.00              0.00             0.06               86.41    
0.03            0.03             0.00              0.00             0.06               86.47    
0.02            0.03             0.00              0.00             0.05               86.52    
0.03            0.02             0.00              0.00             0.05               86.57    
0.02            0.03             0.00              0.00             0.05               86.62    
0.02            0.02             0.00              0.00             0.04               86.66    
0.03            0.03             0.00              0.00             0.06               86.72    
0.03            0.02             0.00              0.00             0.05               86.77    
0.03            0.02             0.00              0.00             0.05               86.82    
0.02            0.01             0.00              0.00             0.03               86.85    
0.03            0.01             0.00              0.00             0.04               86.89    
0.03            0.01             0.00              0.00             0.04               86.93    
0.00            0.00             0.00              0.32             0.32               87.25    
