Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             17.99             0.00             17.99              206.03   
0.28            0.08             0.00              0.00             0.36               206.39   
0.06            0.07             0.00              0.00             0.13               206.52   
0.04            0.06             0.00              0.00             0.10               206.62   
0.03            0.06             0.00              0.00             0.09               206.71   
0.03            0.04             0.00              0.00             0.07               206.78   
0.03            0.04             0.00              0.00             0.07               206.85   
0.03            0.06             0.00              0.00             0.09               206.94   
0.02            0.05             0.00              0.00             0.07               207.01   
0.02            0.05             0.00              0.00             0.07               207.08   
0.02            0.04             0.00              0.00             0.06               207.14   
0.03            0.05             0.00              0.00             0.08               207.22   
0.03            0.03             0.00              0.00             0.06               207.28   
0.03            0.04             0.00              0.00             0.07               207.35   
0.04            0.04             0.00              0.00             0.08               207.43   
0.02            0.03             0.00              0.00             0.05               207.48   
0.02            0.03             0.00              0.00             0.05               207.53   
0.03            0.04             0.00              0.00             0.07               207.60   
0.03            0.02             0.00              0.00             0.05               207.65   
0.02            0.03             0.00              0.00             0.05               207.70   
0.03            0.03             0.00              0.00             0.06               207.76   
0.02            0.02             0.00              0.00             0.04               207.80   
0.02            0.02             0.00              0.00             0.04               207.84   
0.03            0.03             0.00              0.00             0.06               207.90   
0.02            0.03             0.00              0.00             0.05               207.95   
0.03            0.02             0.00              0.00             0.05               208.00   
0.03            0.02             0.00              0.00             0.05               208.05   
0.02            0.02             0.00              0.00             0.04               208.09   
0.03            0.01             0.00              0.00             0.04               208.13   
0.02            0.02             0.00              0.00             0.04               208.17   
0.03            0.02             0.00              0.00             0.05               208.22   
0.02            0.01             0.00              0.00             0.03               208.25   
0.02            0.02             0.00              0.00             0.04               208.29   
0.02            0.01             0.00              0.00             0.03               208.32   
0.03            0.02             0.00              0.00             0.05               208.37   
0.03            0.00             0.00              0.00             0.03               208.40   
0.02            0.01             0.00              0.00             0.03               208.43   
0.00            0.00             0.00              0.20             0.20               208.63   
