Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.00            0.00             20.41             0.00             20.41              283.98   
0.18            0.07             0.00              0.00             0.25               284.23   
0.04            0.04             0.00              0.00             0.08               284.31   
0.02            0.05             0.00              0.00             0.07               284.38   
0.02            0.04             0.00              0.00             0.06               284.44   
0.02            0.03             0.00              0.00             0.05               284.49   
0.02            0.04             0.00              0.00             0.06               284.55   
0.02            0.04             0.00              0.00             0.06               284.61   
0.02            0.03             0.00              0.00             0.05               284.66   
0.02            0.03             0.00              0.00             0.05               284.71   
0.02            0.02             0.00              0.00             0.04               284.75   
0.02            0.02             0.00              0.00             0.04               284.79   
0.02            0.03             0.00              0.00             0.05               284.84   
0.02            0.03             0.00              0.00             0.05               284.89   
0.02            0.04             0.00              0.00             0.06               284.95   
0.02            0.03             0.00              0.00             0.05               285.00   
0.02            0.03             0.00              0.00             0.05               285.05   
0.02            0.03             0.00              0.00             0.05               285.10   
0.02            0.03             0.00              0.00             0.05               285.15   
0.02            0.02             0.00              0.00             0.04               285.19   
0.02            0.02             0.00              0.00             0.04               285.23   
0.03            0.01             0.00              0.00             0.04               285.27   
0.02            0.01             0.00              0.00             0.03               285.30   
0.02            0.02             0.00              0.00             0.04               285.34   
0.02            0.01             0.00              0.00             0.03               285.37   
0.02            0.01             0.00              0.00             0.03               285.40   
0.02            0.01             0.00              0.00             0.03               285.43   
0.02            0.01             0.00              0.00             0.03               285.46   
0.02            0.02             0.00              0.00             0.04               285.50   
0.02            0.02             0.00              0.00             0.04               285.54   
0.02            0.02             0.00              0.00             0.04               285.58   
0.02            0.01             0.00              0.00             0.03               285.61   
0.02            0.01             0.00              0.00             0.03               285.64   
0.02            0.00             0.00              0.00             0.02               285.66   
0.02            0.00             0.00              0.00             0.02               285.68   
0.02            0.00             0.00              0.00             0.02               285.70   
0.02            0.00             0.00              0.00             0.02               285.72   
0.00            0.00             0.00              0.16             0.16               285.88   
