NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	49.40	39.98	9.43	0.00	0.00
2	4	4	108	44.63	35.10	9.53	0.00	0.00
3	9	9	250	72.05	51.62	20.43	0.00	0.00
4	16	16	482	103.65	70.71	32.93	0.00	0.00
5	25	25	825	183.86	119.22	64.64	0.00	0.00
6	36	36	1296	321.76	192.29	129.46	0.00	0.00
7	49	49	1918	446.71	227.35	219.36	0.00	0.00
8	64	64	2712	770.98	371.32	399.66	0.00	0.00
9	81	81	3701	1096.72	428.78	667.95	0.00	0.00
10	100	100	4903	1517.53	524.13	993.40	0.00	0.00
11	121	121	6322	2288.38	670.26	1618.12	0.00	0.00
12	144	144	8020	3336.69	1041.24	2295.45	0.00	0.00
13	169	169	9987	4718.23	1386.45	3331.78	0.00	0.00
14	196	196	12254	6316.44	1423.22	4893.22	0.00	0.00
15	225	225	14837	8260.93	1737.80	6523.13	0.00	0.00
