NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	31.09	26.11	2.69	0.76	1.52
2	4	2	36	38.13	33.29	2.23	0.78	1.83
3	9	3	64	64.85	57.21	4.65	0.71	2.29
4	16	4	100	108.65	98.02	7.37	1.37	1.89
5	25	5	144	136.07	123.33	8.01	2.79	1.94
6	36	6	196	223.88	202.95	13.35	4.97	2.62
7	49	7	256	296.11	266.98	18.63	7.42	3.08
8	64	8	324	391.94	342.28	29.14	16.71	3.81
9	81	9	400	542.33	461.77	46.26	28.66	5.64
10	100	10	484	651.30	534.82	57.56	51.69	7.24
11	121	11	576	890.86	707.26	88.27	85.00	10.32
12	144	12	676	1390.70	1141.65	114.07	121.02	13.96
13	169	13	784	1813.59	1431.16	154.84	208.44	19.15
14	196	14	900	2003.40	1526.69	203.72	247.68	25.31
15	225	15	1024	2623.32	1901.41	282.19	404.55	35.17
