Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            4.12          0.00             0.00             4.12               136.26   
0.12            0.00          0.05             0.00             0.17               136.43   
0.03            0.00          0.02             0.00             0.05               136.48   
0.02            0.00          0.02             0.00             0.04               136.52   
0.02            0.00          0.03             0.00             0.05               136.57   
0.02            0.00          0.02             0.00             0.04               136.61   
0.02            0.00          0.02             0.00             0.04               136.65   
0.02            0.00          0.02             0.00             0.04               136.69   
0.02            0.00          0.02             0.00             0.04               136.73   
0.02            0.00          0.00             0.00             0.02               136.75   
0.02            0.00          0.00             0.00             0.02               136.77   
0.02            0.00          0.00             0.00             0.02               136.79   
0.02            0.00          0.00             0.00             0.02               136.81   
0.02            0.00          0.00             0.00             0.02               136.83   
0.02            0.00          0.00             0.00             0.02               136.85   
0.02            0.00          0.00             0.00             0.02               136.87   
0.02            0.00          0.00             0.00             0.02               136.89   
0.02            0.00          0.00             0.00             0.02               136.91   
0.02            0.00          0.00             0.00             0.02               136.93   
0.02            0.00          0.00             0.00             0.02               136.95   
0.02            0.00          0.00             0.00             0.02               136.97   
0.00            0.00          0.00             1.57             1.57               138.54   
