NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
2	8	8	20	24.15	18.42	3.22	0.81	1.70
1	2	2	12	12.49	9.76	0.98	0.20	1.55
1	12	12	20	15.08	11.57	1.34	0.45	1.72
2	8	8	20	13.47	10.34	1.22	0.27	1.65
1	10	10	36	20.98	16.64	2.22	0.30	1.82
2	14	14	32	20.95	17.04	1.81	0.37	1.74
1	2	2	12	12.34	9.88	0.76	0.12	1.57
2	8	8	20	9.30	6.63	1.04	0.19	1.44
3	16	16	76	32.49	26.91	3.36	0.57	1.65
1	4	4	9	7.91	6.03	0.39	0.12	1.36
2	8	8	20	6.98	4.59	0.78	0.18	1.43
1	21	21	32	13.08	9.74	1.21	0.35	1.78
1	12	12	20	8.99	6.45	0.82	0.24	1.48
1	48	48	136	62.54	53.83	5.67	0.89	2.15
1	240	240	408	121.63	75.69	19.37	16.59	9.98
1	45	45	128	68.10	60.37	4.83	0.93	1.97
1	45	45	128	70.57	62.76	4.86	0.92	2.03
2	8	8	20	6.95	4.67	0.70	0.14	1.43
2	8	8	20	6.10	3.98	0.66	0.12	1.34
2	8	8	20	6.42	4.36	0.64	0.12	1.30
2	8	8	20	6.05	3.91	0.66	0.13	1.34
1	4	4	18	8.65	6.71	0.58	0.07	1.29
2	8	8	20	6.04	3.91	0.66	0.13	1.35
1	12	12	20	6.54	4.31	0.66	0.18	1.39
1	12	12	20	6.52	4.33	0.64	0.18	1.36
3	14	14	67	15.09	10.99	2.49	0.22	1.40
1	2	2	12	5.84	3.75	0.48	0.06	1.55
2	5	5	24	8.43	6.04	0.94	0.10	1.35
2	8	8	20	8.17	6.01	0.73	0.13	1.29
1	12	12	20	5.96	3.87	0.62	0.16	1.30
2	10	10	36	10.21	7.64	1.20	0.13	1.24
2	8	8	20	5.88	3.87	0.62	0.11	1.28
2	8	8	20	6.23	4.24	0.60	0.11	1.27
2	8	8	20	6.35	4.21	0.65	0.12	1.37
1	21	21	32	10.70	8.04	1.03	0.28	1.36
1	12	12	20	6.65	4.46	0.64	0.16	1.40
1	12	12	20	7.03	4.66	0.64	0.17	1.55
3	14	14	59	12.25	8.52	2.12	0.20	1.41
2	14	14	32	10.61	8.00	1.05	0.19	1.36
1	12	12	20	6.68	4.41	0.64	0.17	1.48
1	12	12	20	6.65	4.37	0.64	0.17	1.46
2	9	9	32	13.35	10.86	1.11	0.14	1.25
2	9	9	32	13.68	11.13	1.16	0.14	1.24
1	12	12	20	6.31	4.21	0.62	0.17	1.31
2	9	9	32	12.89	10.45	1.04	0.14	1.27
2	9	9	32	13.50	11.05	1.04	0.13	1.28
2	9	9	32	15.41	12.84	1.19	0.13	1.25
2	9	9	32	13.20	10.72	1.12	0.13	1.24
2	9	9	32	12.02	9.63	1.03	0.13	1.23
2	9	9	32	13.18	10.73	1.03	0.14	1.28
2	9	9	32	12.53	10.02	1.05	0.12	1.34
2	9	9	32	11.62	9.18	1.03	0.13	1.28
2	9	9	32	12.33	9.94	1.02	0.13	1.24
2	9	9	32	12.76	10.24	1.05	0.14	1.33
2	9	9	32	11.16	8.74	1.02	0.13	1.27
2	9	9	32	12.49	10.10	1.03	0.13	1.23
1	12	12	20	5.71	3.62	0.62	0.16	1.32
1	12	12	20	6.15	4.06	0.62	0.15	1.31
1	12	12	20	6.27	4.19	0.61	0.16	1.32
