Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            1928.32        0.00             0.00             1928.32            166613.01
4.27            0.00          3.95             0.00             8.22               166621.23
0.04            0.00          1.59             0.00             1.63               166622.86
0.03            0.00          1.91             0.00             1.94               166624.80
0.03            0.00          1.90             0.00             1.93               166626.73
0.03            0.00          1.56             0.00             1.59               166628.32
0.03            0.00          1.83             0.00             1.86               166630.18
0.03            0.00          1.87             0.00             1.90               166632.08
0.03            0.00          1.99             0.00             2.02               166634.10
0.03            0.00          2.00             0.00             2.03               166636.13
0.04            0.00          1.90             0.00             1.94               166638.07
0.03            0.00          1.65             0.00             1.68               166639.75
0.03            0.00          1.74             0.00             1.77               166641.52
0.03            0.00          1.84             0.00             1.87               166643.39
0.03            0.00          2.00             0.00             2.03               166645.42
0.03            0.00          1.97             0.00             2.00               166647.42
0.03            0.00          1.88             0.00             1.91               166649.33
0.03            0.00          3.68             0.00             3.71               166653.04
0.03            0.00          1.74             0.00             1.77               166654.81
0.03            0.00          3.71             0.00             3.74               166658.55
0.04            0.00          1.89             0.00             1.93               166660.48
0.03            0.00          1.46             0.00             1.49               166661.97
0.03            0.00          1.85             0.00             1.88               166663.85
0.03            0.00          1.64             0.00             1.67               166665.52
0.03            0.00          1.73             0.00             1.76               166667.28
0.03            0.00          1.46             0.00             1.49               166668.77
0.03            0.00          1.86             0.00             1.89               166670.66
0.03            0.00          1.85             0.00             1.88               166672.54
0.03            0.00          1.85             0.00             1.88               166674.42
0.03            0.00          1.86             0.00             1.89               166676.31
0.03            0.00          1.87             0.00             1.90               166678.21
0.03            0.00          1.78             0.00             1.81               166680.02
0.03            0.00          1.84             0.00             1.87               166681.89
0.03            0.00          3.83             0.00             3.86               166685.75
0.04            0.00          1.89             0.00             1.93               166687.68
0.04            0.00          0.29             0.00             0.33               166688.01
0.02            0.00          1.51             0.00             1.53               166689.54
0.03            0.00          0.26             0.00             0.29               166689.83
0.02            0.00          1.58             0.00             1.60               166691.43
0.03            0.00          0.27             0.00             0.30               166691.73
0.02            0.00          0.26             0.00             0.28               166692.01
0.02            0.00          0.27             0.00             0.29               166692.30
0.02            0.00          0.28             0.00             0.30               166692.60
0.02            0.00          0.27             0.00             0.29               166692.89
0.03            0.00          0.27             0.00             0.30               166693.19
0.02            0.00          0.27             0.00             0.29               166693.48
0.02            0.00          0.27             0.00             0.29               166693.77
0.02            0.00          1.51             0.00             1.53               166695.30
0.03            0.00          0.28             0.00             0.31               166695.61
0.02            0.00          0.28             0.00             0.30               166695.91
0.02            0.00          0.29             0.00             0.31               166696.22
0.02            0.00          0.28             0.00             0.30               166696.52
0.02            0.00          0.27             0.00             0.29               166696.81
0.02            0.00          0.33             0.00             0.35               166697.16
0.02            0.00          0.29             0.00             0.31               166697.47
