Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            24.03         0.00             0.00             24.03              24.03    
0.02            0.00          0.00             0.00             1.27               25.30    
0.03            0.00          0.00             0.00             0.24               25.54    
0.03            0.00          0.00             0.00             0.08               25.62    
0.03            0.00          0.00             0.00             0.20               25.82    
0.03            0.00          0.00             0.00             0.47               26.29    
0.01            0.00          0.00             0.00             0.06               26.35    
0.01            0.00          0.00             0.00             0.05               26.40    
0.01            0.00          0.00             0.00             0.07               26.47    
0.01            0.00          0.00             0.00             0.07               26.54    
0.00            0.00          0.00             0.00             0.05               26.59    
0.01            0.00          0.00             0.00             0.05               26.64    
0.01            0.00          0.00             0.00             0.05               26.69    
0.00            0.00          0.00             0.00             0.04               26.73    
0.04            0.00          0.00             0.00             0.04               26.77    
0.04            0.00          0.00             0.00             0.04               26.81    
0.01            0.00          0.00             0.00             0.05               26.86    
0.04            0.00          0.00             0.00             0.04               26.90    
0.01            0.00          0.00             0.00             0.11               27.01    
0.05            0.00          0.00             0.00             0.05               27.06    
0.04            0.00          0.00             0.00             0.04               27.10    
0.01            0.00          0.00             0.53             0.63               27.73    
