Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            4.16          0.00             0.00             4.16               98.10    
0.10            0.00          0.02             0.00             0.12               98.22    
0.02            0.00          0.01             0.00             0.03               98.25    
0.02            0.00          0.01             0.00             0.03               98.28    
0.02            0.00          0.01             0.00             0.03               98.31    
0.02            0.00          0.01             0.00             0.03               98.34    
0.02            0.00          0.01             0.00             0.03               98.37    
0.02            0.00          0.01             0.00             0.03               98.40    
0.02            0.00          0.01             0.00             0.03               98.43    
0.02            0.00          0.00             0.00             0.02               98.45    
0.02            0.00          0.00             0.00             0.02               98.47    
0.02            0.00          0.00             0.00             0.02               98.49    
0.02            0.00          0.00             0.00             0.02               98.51    
0.02            0.00          0.00             0.00             0.02               98.53    
0.02            0.00          0.00             0.00             0.02               98.55    
0.02            0.00          0.00             0.00             0.02               98.57    
0.02            0.00          0.00             0.00             0.02               98.59    
0.02            0.00          0.00             0.00             0.02               98.61    
0.02            0.00          0.00             0.00             0.02               98.63    
0.02            0.00          0.00             0.00             0.02               98.65    
0.02            0.00          0.00             0.00             0.02               98.67    
0.00            0.00          0.00             0.13             0.13               98.80    
