Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            1512.47        0.00             0.00             1512.47            30908.23 
2.99            0.00          0.42             0.00             3.41               30911.64 
0.03            0.00          0.33             0.00             0.36               30912.00 
0.04            0.00          0.06             0.00             0.10               30912.10 
0.02            0.00          0.34             0.00             0.36               30912.46 
0.04            0.00          0.06             0.00             0.10               30912.56 
0.03            0.00          0.05             0.00             0.08               30912.64 
0.02            0.00          0.35             0.00             0.37               30913.01 
0.04            0.00          0.05             0.00             0.09               30913.10 
0.02            0.00          0.35             0.00             0.37               30913.47 
0.03            0.00          0.05             0.00             0.08               30913.55 
0.02            0.00          0.34             0.00             0.36               30913.91 
0.04            0.00          0.06             0.00             0.10               30914.01 
0.03            0.00          0.05             0.00             0.08               30914.09 
0.02            0.00          0.35             0.00             0.37               30914.46 
0.02            0.00          0.34             0.00             0.36               30914.82 
0.04            0.00          0.06             0.00             0.10               30914.92 
0.03            0.00          0.05             0.00             0.08               30915.00 
0.02            0.00          0.35             0.00             0.37               30915.37 
0.02            0.00          0.34             0.00             0.36               30915.73 
0.02            0.00          0.32             0.00             0.34               30916.07 
0.02            0.00          0.38             0.00             0.40               30916.47 
0.04            0.00          0.06             0.00             0.10               30916.57 
0.02            0.00          0.38             0.00             0.40               30916.97 
0.03            0.00          0.05             0.00             0.08               30917.05 
0.04            0.00          0.05             0.00             0.09               30917.14 
0.02            0.00          0.35             0.00             0.37               30917.51 
0.02            0.00          0.33             0.00             0.35               30917.86 
0.04            0.00          0.06             0.00             0.10               30917.96 
0.02            0.00          0.33             0.00             0.35               30918.31 
0.02            0.00          0.33             0.00             0.35               30918.66 
0.04            0.00          0.06             0.00             0.10               30918.76 
0.02            0.00          0.01             0.00             0.03               30918.79 
0.02            0.00          0.01             0.00             0.03               30918.82 
0.02            0.00          0.01             0.00             0.03               30918.85 
0.02            0.00          0.01             0.00             0.03               30918.88 
0.01            0.00          0.33             0.00             0.34               30919.22 
0.02            0.00          0.01             0.00             0.03               30919.25 
0.02            0.00          0.33             0.00             0.35               30919.60 
0.03            0.00          0.01             0.00             0.04               30919.64 
0.02            0.00          0.01             0.00             0.03               30919.67 
0.02            0.00          0.01             0.00             0.03               30919.70 
