Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            32.02         0.00             0.00             32.02              682.68   
0.08            0.00          0.05             0.00             0.13               682.81   
0.02            0.00          0.02             0.00             0.04               682.85   
0.02            0.00          0.03             0.00             0.05               682.90   
0.01            0.00          0.02             0.00             0.03               682.93   
0.01            0.00          0.02             0.00             0.03               682.96   
0.01            0.00          0.03             0.00             0.04               683.00   
0.01            0.00          0.03             0.00             0.04               683.04   
0.01            0.00          0.04             0.00             0.05               683.09   
0.01            0.00          0.02             0.00             0.03               683.12   
0.01            0.00          0.01             0.00             0.02               683.14   
0.01            0.00          0.01             0.00             0.02               683.16   
0.01            0.00          0.02             0.00             0.03               683.19   
0.01            0.00          0.01             0.00             0.02               683.21   
0.01            0.00          0.01             0.00             0.02               683.23   
0.01            0.00          0.01             0.00             0.02               683.25   
0.01            0.00          0.02             0.00             0.03               683.28   
0.01            0.00          0.01             0.00             0.02               683.30   
0.01            0.00          0.01             0.00             0.02               683.32   
0.01            0.00          0.02             0.00             0.03               683.35   
0.01            0.00          0.01             0.00             0.02               683.37   
0.01            0.00          0.01             0.00             0.02               683.39   
0.01            0.00          0.02             0.00             0.03               683.42   
0.01            0.00          0.01             0.00             0.02               683.44   
0.01            0.00          0.02             0.00             0.03               683.47   
0.02            0.00          0.01             0.00             0.03               683.50   
0.02            0.00          0.01             0.00             0.03               683.53   
0.01            0.00          0.02             0.00             0.03               683.56   
0.02            0.00          0.02             0.00             0.04               683.60   
0.02            0.00          0.00             0.00             0.02               683.62   
0.01            0.00          0.00             0.00             0.01               683.63   
0.01            0.00          0.00             0.00             0.01               683.64   
0.02            0.00          0.00             0.00             0.02               683.66   
0.01            0.00          0.00             0.00             0.01               683.67   
0.02            0.00          0.00             0.00             0.02               683.69   
0.01            0.00          0.00             0.00             0.01               683.70   
0.01            0.00          0.00             0.00             0.01               683.71   
0.02            0.00          0.00             0.00             0.02               683.73   
0.02            0.00          0.00             0.00             0.02               683.75   
0.01            0.00          0.00             0.00             0.01               683.76   
0.01            0.00          0.00             0.00             0.01               683.77   
0.00            0.00          0.00             0.10             0.10               683.87   
