Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            348.19        0.00             0.00             348.19             348.19   
3.10            0.00          2.69             0.00             5.79               353.98   
0.06            0.00          0.92             0.00             0.98               354.96   
0.06            0.00          1.02             0.00             1.08               356.04   
0.04            0.00          1.00             0.00             1.04               357.08   
0.05            0.00          1.77             0.00             1.82               358.90   
0.04            0.00          0.84             0.00             0.88               359.78   
0.05            0.00          1.78             0.00             1.83               361.61   
0.04            0.00          0.99             0.00             1.03               362.64   
0.05            0.00          0.79             0.00             0.84               363.48   
0.04            0.00          0.66             0.00             0.70               364.18   
0.03            0.00          0.64             0.00             0.67               364.85   
0.02            0.00          0.62             0.00             0.64               365.49   
0.03            0.00          0.64             0.00             0.67               366.16   
0.03            0.00          0.64             0.00             0.67               366.83   
0.02            0.00          0.63             0.00             0.65               367.48   
0.03            0.00          0.64             0.00             0.67               368.15   
0.02            0.00          0.59             0.00             0.61               368.76   
0.02            0.00          0.65             0.00             0.67               369.43   
0.02            0.00          0.63             0.00             0.65               370.08   
0.02            0.00          0.61             0.00             0.63               370.71   
0.02            0.00          1.24             0.00             1.26               371.97   
0.03            0.00          0.64             0.00             0.67               372.64   
0.03            0.00          0.16             0.00             0.19               372.83   
0.02            0.00          0.52             0.00             0.54               373.37   
0.02            0.00          0.12             0.00             0.14               373.51   
0.02            0.00          0.47             0.00             0.49               374.00   
0.02            0.00          0.13             0.00             0.15               374.15   
0.02            0.00          0.12             0.00             0.14               374.29   
0.02            0.00          0.42             0.00             0.44               374.73   
0.02            0.00          0.12             0.00             0.14               374.87   
0.02            0.00          0.11             0.00             0.13               375.00   
0.02            0.00          0.12             0.00             0.14               375.14   
0.02            0.00          0.11             0.00             0.13               375.27   
0.02            0.00          0.11             0.00             0.13               375.40   
0.02            0.00          0.12             0.00             0.14               375.54   
0.02            0.00          0.12             0.00             0.14               375.68   
0.02            0.00          0.53             0.00             0.55               376.23   
0.02            0.00          0.47             0.00             0.49               376.72   
0.02            0.00          0.11             0.00             0.13               376.85   
0.02            0.00          0.46             0.00             0.48               377.33   
0.02            0.00          0.12             0.00             0.14               377.47   
0.02            0.00          0.12             0.00             0.14               377.61   
0.02            0.00          0.13             0.00             0.15               377.76   
0.02            0.00          0.13             0.00             0.15               377.91   
0.01            0.00          0.14             0.00             0.15               378.06   
0.02            0.00          0.13             0.00             0.15               378.21   
0.02            0.00          0.12             0.00             0.14               378.35   
0.02            0.00          0.52             0.00             0.54               378.89   
0.02            0.00          0.12             0.00             0.14               379.03   
0.02            0.00          0.12             0.00             0.14               379.17   
0.02            0.00          0.13             0.00             0.15               379.32   
0.01            0.00          0.12             0.00             0.13               379.45   
0.01            0.00          0.45             0.00             0.46               379.91   
0.02            0.00          0.45             0.00             0.47               380.38   
0.02            0.00          0.13             0.00             0.15               380.53   
0.02            0.00          0.11             0.00             0.13               380.66   
0.02            0.00          0.95             0.00             0.97               381.63   
0.02            0.00          0.49             0.00             0.51               382.14   
0.02            0.00          0.47             0.00             0.49               382.63   
0.02            0.00          0.44             0.00             0.46               383.09   
0.02            0.00          0.46             0.00             0.48               383.57   
0.02            0.00          0.46             0.00             0.48               384.05   
0.02            0.00          0.49             0.00             0.51               384.56   
0.02            0.00          0.48             0.00             0.50               385.06   
0.03            0.00          0.44             0.00             0.47               385.53   
0.02            0.00          0.48             0.00             0.50               386.03   
0.02            0.00          0.89             0.00             0.91               386.94   
0.02            0.00          0.50             0.00             0.52               387.46   
0.02            0.00          0.42             0.00             0.44               387.90   
0.02            0.00          0.46             0.00             0.48               388.38   
0.02            0.00          0.47             0.00             0.49               388.87   
0.02            0.00          0.41             0.00             0.43               389.30   
0.02            0.00          0.46             0.00             0.48               389.78   
0.02            0.00          0.12             0.00             0.14               389.92   
0.02            0.00          0.11             0.00             0.13               390.05   
0.02            0.00          0.11             0.00             0.13               390.18   
0.01            0.00          0.11             0.00             0.12               390.30   
0.01            0.00          0.11             0.00             0.12               390.42   
0.01            0.00          0.45             0.00             0.46               390.88   
0.02            0.00          0.41             0.00             0.43               391.31   
0.02            0.00          0.11             0.00             0.13               391.44   
0.02            0.00          0.11             0.00             0.13               391.57   
0.01            0.00          0.46             0.00             0.47               392.04   
0.02            0.00          0.48             0.00             0.50               392.54   
0.02            0.00          0.47             0.00             0.49               393.03   
0.02            0.00          0.47             0.00             0.49               393.52   
0.02            0.00          0.46             0.00             0.48               394.00   
0.03            0.00          0.47             0.00             0.50               394.50   
0.02            0.00          0.93             0.00             0.95               395.45   
0.02            0.00          0.46             0.00             0.48               395.93   
0.02            0.00          0.42             0.00             0.44               396.37   
0.02            0.00          0.44             0.00             0.46               396.83   
0.02            0.00          0.47             0.00             0.49               397.32   
0.02            0.00          0.46             0.00             0.48               397.80   
0.02            0.00          0.46             0.00             0.48               398.28   
0.02            0.00          0.39             0.00             0.41               398.69   
0.03            0.00          0.46             0.00             0.49               399.18   
0.02            0.00          0.11             0.00             0.13               399.31   
0.01            0.00          0.13             0.00             0.14               399.45   
0.01            0.00          0.12             0.00             0.13               399.58   
0.01            0.00          0.52             0.00             0.53               400.11   
0.02            0.00          0.12             0.00             0.14               400.25   
0.02            0.00          0.12             0.00             0.14               400.39   
0.02            0.00          0.12             0.00             0.14               400.53   
0.01            0.00          0.12             0.00             0.13               400.66   
0.02            0.00          0.12             0.00             0.14               400.80   
0.02            0.00          0.11             0.00             0.13               400.93   
0.01            0.00          0.12             0.00             0.13               401.06   
0.02            0.00          0.12             0.00             0.14               401.20   
0.02            0.00          0.43             0.00             0.45               401.65   
0.02            0.00          0.11             0.00             0.13               401.78   
0.02            0.00          0.11             0.00             0.13               401.91   
0.01            0.00          0.16             0.00             0.17               402.08   
0.02            0.00          0.13             0.00             0.15               402.23   
0.01            0.00          0.12             0.00             0.13               402.36   
0.01            0.00          0.12             0.00             0.13               402.49   
0.02            0.00          0.13             0.00             0.15               402.64   
0.01            0.00          0.51             0.00             0.52               403.16   
0.02            0.00          0.13             0.00             0.15               403.31   
0.02            0.00          0.52             0.00             0.54               403.85   
0.02            0.00          0.13             0.00             0.15               404.00   
0.02            0.00          0.12             0.00             0.14               404.14   
0.02            0.00          0.12             0.00             0.14               404.28   
0.01            0.00          0.13             0.00             0.14               404.42   
0.01            0.00          0.13             0.00             0.14               404.56   
0.02            0.00          0.12             0.00             0.14               404.70   
0.02            0.00          0.12             0.00             0.14               404.84   
0.02            0.00          0.13             0.00             0.15               404.99   
0.02            0.00          0.12             0.00             0.14               405.13   
0.02            0.00          0.49             0.00             0.51               405.64   
0.02            0.00          0.12             0.00             0.14               405.78   
0.02            0.00          0.14             0.00             0.16               405.94   
0.02            0.00          0.13             0.00             0.15               406.09   
0.02            0.00          0.13             0.00             0.15               406.24   
0.01            0.00          0.12             0.00             0.13               406.37   
0.02            0.00          0.49             0.00             0.51               406.88   
0.02            0.00          0.53             0.00             0.55               407.43   
0.02            0.00          0.12             0.00             0.14               407.57   
0.02            0.00          0.12             0.00             0.14               407.71   
0.02            0.00          0.12             0.00             0.14               407.85   
0.02            0.00          0.13             0.00             0.15               408.00   
0.02            0.00          0.12             0.00             0.14               408.14   
0.02            0.00          0.12             0.00             0.14               408.28   
0.02            0.00          0.49             0.00             0.51               408.79   
0.02            0.00          0.12             0.00             0.14               408.93   
0.02            0.00          0.13             0.00             0.15               409.08   
0.02            0.00          0.14             0.00             0.16               409.24   
0.02            0.00          0.12             0.00             0.14               409.38   
0.02            0.00          0.51             0.00             0.53               409.91   
0.02            0.00          0.12             0.00             0.14               410.05   
0.02            0.00          0.46             0.00             0.48               410.53   
0.02            0.00          0.11             0.00             0.13               410.66   
0.02            0.00          0.12             0.00             0.14               410.80   
0.02            0.00          0.12             0.00             0.14               410.94   
0.01            0.00          0.49             0.00             0.50               411.44   
0.03            0.00          0.49             0.00             0.52               411.96   
0.02            0.00          0.13             0.00             0.15               412.11   
0.02            0.00          0.46             0.00             0.48               412.59   
0.02            0.00          0.11             0.00             0.13               412.72   
0.02            0.00          0.99             0.00             1.01               413.73   
0.03            0.00          0.53             0.00             0.56               414.29   
0.04            0.00          0.09             0.00             0.13               414.42   
0.02            0.00          0.12             0.00             0.14               414.56   
0.02            0.00          0.08             0.00             0.10               414.66   
0.01            0.00          0.09             0.00             0.10               414.76   
0.02            0.00          0.08             0.00             0.10               414.86   
0.01            0.00          0.08             0.00             0.09               414.95   
0.01            0.00          0.09             0.00             0.10               415.05   
0.02            0.00          0.38             0.00             0.40               415.45   
0.02            0.00          0.08             0.00             0.10               415.55   
0.01            0.00          0.40             0.00             0.41               415.96   
0.02            0.00          0.08             0.00             0.10               416.06   
0.01            0.00          0.07             0.00             0.08               416.14   
0.01            0.00          0.07             0.00             0.08               416.22   
0.01            0.00          0.11             0.00             0.12               416.34   
0.02            0.00          0.08             0.00             0.10               416.44   
0.01            0.00          0.11             0.00             0.12               416.56   
0.01            0.00          0.11             0.00             0.12               416.68   
0.01            0.00          0.11             0.00             0.12               416.80   
0.01            0.00          0.44             0.00             0.45               417.25   
0.02            0.00          0.40             0.00             0.42               417.67   
0.02            0.00          0.11             0.00             0.13               417.80   
0.01            0.00          0.12             0.00             0.13               417.93   
0.03            0.00          0.11             0.00             0.14               418.07   
0.01            0.00          0.11             0.00             0.12               418.19   
0.02            0.00          0.08             0.00             0.10               418.29   
0.01            0.00          0.08             0.00             0.09               418.38   
0.02            0.00          0.08             0.00             0.10               418.48   
0.02            0.00          0.08             0.00             0.10               418.58   
0.01            0.00          0.08             0.00             0.09               418.67   
0.01            0.00          0.08             0.00             0.09               418.76   
0.01            0.00          0.08             0.00             0.09               418.85   
0.03            0.00          0.13             0.00             0.16               419.01   
0.02            0.00          0.08             0.00             0.10               419.11   
0.01            0.00          0.08             0.00             0.09               419.20   
0.01            0.00          0.07             0.00             0.08               419.28   
0.01            0.00          0.07             0.00             0.08               419.36   
0.01            0.00          0.10             0.00             0.11               419.47   
0.01            0.00          0.51             0.00             0.52               419.99   
0.02            0.00          0.12             0.00             0.14               420.13   
0.02            0.00          0.12             0.00             0.14               420.27   
0.01            0.00          0.12             0.00             0.13               420.40   
0.02            0.00          0.44             0.00             0.46               420.86   
0.02            0.00          0.12             0.00             0.14               421.00   
0.02            0.00          0.42             0.00             0.44               421.44   
0.02            0.00          0.11             0.00             0.13               421.57   
0.01            0.00          0.10             0.00             0.11               421.68   
0.01            0.00          0.09             0.00             0.10               421.78   
0.02            0.00          0.11             0.00             0.13               421.91   
0.02            0.00          0.40             0.00             0.42               422.33   
0.02            0.00          0.08             0.00             0.10               422.43   
0.02            0.00          0.09             0.00             0.11               422.54   
0.01            0.00          0.08             0.00             0.09               422.63   
0.01            0.00          0.08             0.00             0.09               422.72   
0.01            0.00          0.08             0.00             0.09               422.81   
0.02            0.00          0.09             0.00             0.11               422.92   
0.02            0.00          0.09             0.00             0.11               423.03   
0.01            0.00          0.09             0.00             0.10               423.13   
