NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	29.26	21.12	8.14	0.00	0.00
2	4	4	108	72.91	36.09	36.82	0.00	0.00
3	9	9	250	129.88	53.26	76.62	0.00	0.00
4	16	16	482	284.75	75.02	209.73	0.00	0.00
5	25	25	825	605.44	128.29	477.15	0.00	0.00
6	36	36	1296	1281.50	207.07	1074.43	0.00	0.00
7	49	49	1918	2349.34	244.78	2104.55	0.00	0.00
8	64	64	2712	4329.00	359.92	3969.08	0.00	0.00
9	81	81	3701	7470.08	440.45	7029.63	0.00	0.00
10	100	100	4903	12341.64	605.78	11735.85	0.00	0.00
11	121	121	6322	20227.72	781.38	19446.34	0.00	0.00
12	144	144	8020	32585.85	1197.56	31388.29	0.00	0.00
13	169	169	9987	49700.46	1504.29	48196.17	0.00	0.00
14	196	196	12254	75699.05	1617.26	74081.79	0.00	0.00
15	225	225	14837	109565.12	1980.96	107584.16	0.00	0.00
